,Code,Source,Link,Location,,,,,"Agro-ecological zone, Soil class(es) and other environmental information",,,,,Crop,,Cropping systems,"Basic experimental objectives and treatment structure.  Record treatment descriptions, including an account of any factorial structure",,Repeated analysis done?,Data Transformation?,Plot size,"Experimental design, numbers of replicates and outline ANOVA table showing degrees of freedom",,,,,,,Data ownership,Control Yield,Treatment Yield,Information on variability,,
10,AC0075,Omulo,10.1007/s10457-017-0150-1,Zambia,"German-Zambian Agricultural Knowledge and Training Centre (AKTC), Chisamba",-14.9476,28.0884,2020;2021,Tropic - warm / semiarid,30.7,50.9,16.1,"The mean annual precip at German-Zambian Agricultural Knowledge and Training Centre (AKTC), Chisamba was 830 mm",Soybean,The variety for Maize is IT 04K-321 -2; The variety for Soybean is IT 16,The base practices were Improved Varieties-Inorganic Fertilizer. The experiment was rainfed,"This experiment tested DH Maize and DH Soybean against RT Maize, DS Maize, RT Soybean, and DS Soybean.",Mulch-Reduced Tillage,"Yes, the experiment was done in 2 seasons",NA,5880,RCBD with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,DH Maize yield was 7.76 t/ha; DH Soybean yield was 2.89 t/ha,DS Maize yield was 7.49 t/ha; DS Soybean yield was 2.94 t/ha; RT Maize yield was 7.7 t/ha; RT Soybean yield was 2.92 t/ha,Not collected in ERA,Not collected in ERA,NA
11,AC0106,Castro,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-95162016000200008&tlng=en,Brazil,Botucatu,-22.68333,-48.38333,2007,NA,NaN,NaN,NaN,The mean annual precip at Botucatu was 1350 mm,Soybean,The variety for Soybean is Yar Itas; The variety for Maize is Zimbabwe Red,The base practices were Improved Varieties-Inorganic Fertilizer. The experiment was rainfed,"This experiment tested Soybean Control and Maize Control against Soybean Liming, Soybean Silicate, Maize Liming, and Maize Silicate.",pH Control,"Yes, the experiment was done in 2 seasons",NA,54,Completely randomized block design with 16 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Maize Control yield was 10.43 t/ha; Soybean Control yield was 2.54 t/ha,Maize Liming yield was 12.33 t/ha; Maize Silicate yield was 12.54 t/ha; Soybean Liming yield was 3.29 t/ha; Soybean Silicate yield was 3.58 t/ha,Not collected in ERA,Not collected in ERA,NA
12,AC0111,Rosolem,10.1071/SR17214,Brazil,Botucatu,-22.85,-48.43333,2016,NA,NaN,NaN,NaN,The mean annual precip at Botucatu was 1381 mm,Soybean,The variety for Soybean is Bayoreca Oro; The variety for Maize is Bayoreca Oro,The base practices were Improved Varieties-Mulch-Reduced Tillage. The experiment was rainfed,"This experiment tested Soybean Control and Maize Control against Soybean Regular Split, Soybean Coated Split, Soybean Regular Single, Soybean Coated Single, Maize Regular Split, Maize Coated Split, Maize Regular Single, and Maize Coated Single.",Inorganic Fertilizer,No,NA,18,RCBD with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Maize Control yield was 4.4 t/ha; Soybean Control yield was 1.71 t/ha,Maize Coated Single yield was 14.19 t/ha; Maize Coated Split yield was 11.34 t/ha; Maize Regular Single yield was 12.44 t/ha; Maize Regular Split yield was 14.7 t/ha; Soybean Coated Single yield was 4.72 t/ha; Soybean Coated Split yield was 4.09 t/ha; Soybean Regular Single yield was 4.13 t/ha; Soybean Regular Split yield was 4.61 t/ha,Not collected in ERA,Not collected in ERA,NA
13,AC0167,Caires,10.1111/j.1475-2743.2008.00166.x,Brazil,Ponta Grosa,-25.16667,-50.08333,2006.1;2007.1,NA,NaN,NaN,NaN,The mean annual precip at Ponta Grosa was 1546 mm,Soybean,The variety for Maize is CKDHH170145; The variety for Soybean is CKDHH170146; The variety for Soybean is CKDHH170148,"The base practices were Crop Rotation-Improved Varieties-Inorganic Fertilizer-Reduced Tillage, Crop Rotation-Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage, and Crop Rotation-Improved Varieties-Inorganic Fertilizer-pH Control-Reduced Tillage. The experiment was rainfed","This experiment tested No L no R Maize<<No residue, No L R+ Maize<<Residue, L+ No R Maize<<Lime, No L no R Soybean 2006<<No residue, No L R+ Soybean 2006<<Residue, L+ No R Soybean 2006<<Lime, No L no R Soybean 2007<<No residue, No L R+ Soybean 2007<<Residue, and L+ No R Soybean 2007<<Lime against L+ R+ Maize<<Lime + residue, L+ R+ Soybean 2006<<Lime + residue, and L+ R+ Soybean 2007<<Lime + residue.",Mulch; pH Control; Mulch-pH Control,"Yes, the experiment was done in 3 seasons",NA,14.4,RCBD with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,L+ No R Maize<<Lime yield was 8.95 t/ha; L+ No R Soybean 2006<<Lime yield was 3.63 t/ha; L+ No R Soybean 2007<<Lime yield was 3.15 t/ha; No L R+ Maize<<Residue yield was 8.41 t/ha; No L R+ Soybean 2006<<Residue yield was 3.7 t/ha; No L R+ Soybean 2007<<Residue yield was 2.81 t/ha; No L no R Maize<<No residue yield was 8.75 t/ha; No L no R Soybean 2006<<No residue yield was 3.31 t/ha; No L no R Soybean 2007<<No residue yield was 2.68 t/ha,L+ No R Maize<<Lime yield was 8.95 t/ha; L+ No R Soybean 2006<<Lime yield was 3.63 t/ha; L+ No R Soybean 2007<<Lime yield was 3.15 t/ha; L+ R+ Maize<<Lime + residue yield was 9.16 t/ha; L+ R+ Soybean 2006<<Lime + residue yield was 3.25 t/ha; L+ R+ Soybean 2007<<Lime + residue yield was 3.04 t/ha; No L R+ Maize<<Residue yield was 8.41 t/ha; No L R+ Soybean 2006<<Residue yield was 3.7 t/ha; No L R+ Soybean 2007<<Residue yield was 2.81 t/ha,Not collected in ERA,Not collected in ERA,NA
14,AC0168,Bado,10.1016/j.agee.2020.107175,Niger,"ICRISAT Sahelian Centre, Sadore",13.2343,2.284,2015;2016;2017;2018,Tropic - warm / semiarid,9.6,78.7,8.4,"The mean annual precip at ICRISAT Sahelian Centre, Sadore was 512 mm",Cowpea; Cowpea-Pearl Millet; Cowpea-Natural Fallow-Pearl Millet; Cowpea-Natural Fallow,The variety for Pearl Millet is CKDHH170149; The variety for Cowpea is CKDHH170150,"The base practices were Improved Varieties, Improved Varieties-Inorganic Fertilizer, Improved Varieties-Intercropping, Improved Varieties-Organic Fertilizer, and Improved Varieties-Inorganic Fertilizer-Organic Fertilizer. The experiment was rainfed","This experiment tested CC F0, CC F1, CCF2, CCF3, MC Cp F0>>MC Cp F0***MC PM F0, MC Cp F1>>MC Cp F1***MC PM F1, MM F0, MM F1, MM F2, MM F3, MC PM F0>>MC Cp F0***MC PM F0, MM F0...MM F1...MM F2...MM F3, and CC F0...CC F1...CCF2...CCF3 against CC F0>>CC F0***Zizi, CC F1>>CC F1***Zizi, CCF2>>CCF2***Zizi, CCF3>>CCF3***Zizi, MC Cp F2>>MC Cp F2***MC PM F2, MC Cp F3>>MC Cp F3***MC PM F3, MC Cp F0>>MC Cp F0***MC PM F0***Zizi, MC Cp F1>>MC Cp F1***MC PM F1***Zizi, MC Cp F2>>MC Cp F2***MC PM F2***Zizi, MC Cp F3>>MC Cp F3***MC PM F3***Zizi, MM F0>>MM F0***Zizi, MM F1>>MM F1***Zizi, MM F2>>MM F2***Zizi, MM F3>>MM F3***Zizi, MC PM F1>>MC Cp F1***MC PM F1, MC PM F2>>MC Cp F2***MC PM F2, MC PM F3>>MC Cp F3***MC PM F3, MC PM F0>>MC Cp F0***MC PM F0***Zizi, MC PM F1>>MC Cp F1***MC PM F1***Zizi, MC PM F2>>MC Cp F2***MC PM F2***Zizi, MC PM F3>>MC Cp F3***MC PM F3***Zizi, MC Cp F0***MC PM F0, MC Cp F1***MC PM F1, MC Cp F2***MC PM F2, MC Cp F3***MC PM F3, MC Cp F0***MC PM F0***Zizi, MC Cp F1***MC PM F1***Zizi, MC Cp F2***MC PM F2***Zizi, MC Cp F3***MC PM F3***Zizi, MC Cp F2...MC Cp F3...MC Cp F1...MC Cp F0***MC PM F1...MC PM F2...MC PM F3...MC PM F0, MM F0...MM F1...MM F2...MM F3***Zizi, MC Cp F2...MC Cp F3...MC Cp F1...MC Cp F0***MC PM F1...MC PM F2...MC PM F3...MC PM F0***Zizi, and CC F0...CC F1...CCF2...CCF3***Zizi.",Inorganic Fertilizer; Other Agroforestry; Inorganic Fertilizer-Other Agroforestry; Intercropping; Inorganic Fertilizer-Intercropping; Intercropping-Other Agroforestry; Inorganic Fertilizer-Intercropping-Other Agroforestry; Organic Fertilizer; Inorganic Fertilizer-Organic Fertilizer; Organic Fertilizer-Other Agroforestry; Inorganic Fertilizer-Organic Fertilizer-Other Agroforestry; Intercropping-Organic Fertilizer; Inorganic Fertilizer-Intercropping-Organic Fertilizer; Intercropping-Organic Fertilizer-Other Agroforestry; Inorganic Fertilizer-Intercropping-Organic Fertilizer-Other Agroforestry,"Yes, the experiment was done in 4 seasons",NA,56,Split plot-RCBD with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,CC F0 yield was 0.46 t/ha; CC F1 yield was 0.52 t/ha; CCF2 yield was 0.52 t/ha; CCF3 yield was 0.55 t/ha; MC Cp F0>>MC Cp F0***MC PM F0 yield was 0.18 t/ha; MC Cp F1>>MC Cp F1***MC PM F1 yield was 0.25 t/ha; MC PM F0>>MC Cp F0***MC PM F0 yield was 0.37 t/ha; MM F0 yield was 0.31 t/ha; MM F1 yield was 0.95 t/ha; MM F2 yield was 0.62 t/ha; MM F3 yield was 0.84 t/ha,CC F0>>CC F0***Zizi yield was 0.4 t/ha; CC F1 yield was 0.52 t/ha; CC F1>>CC F1***Zizi yield was 0.58 t/ha; CCF2 yield was 0.52 t/ha; CCF2>>CCF2***Zizi yield was 0.5 t/ha; CCF3 yield was 0.55 t/ha; CCF3>>CCF3***Zizi yield was 0.54 t/ha; MC Cp F0>>MC Cp F0***MC PM F0 yield was 0.18 t/ha; MC Cp F0>>MC Cp F0***MC PM F0***Zizi yield was 0.19 t/ha; MC Cp F1>>MC Cp F1***MC PM F1 yield was 0.25 t/ha; MC Cp F1>>MC Cp F1***MC PM F1***Zizi yield was 0.25 t/ha; MC Cp F2>>MC Cp F2***MC PM F2 yield was 0.22 t/ha; MC Cp F2>>MC Cp F2***MC PM F2***Zizi yield was 0.18 t/ha; MC Cp F3>>MC Cp F3***MC PM F3 yield was 0.28 t/ha; MC Cp F3>>MC Cp F3***MC PM F3***Zizi yield was 0.21 t/ha; MC PM F0>>MC Cp F0***MC PM F0 yield was 0.37 t/ha; MC PM F0>>MC Cp F0***MC PM F0***Zizi yield was 0.4 t/ha; MC PM F1>>MC Cp F1***MC PM F1 yield was 0.7 t/ha; MC PM F1>>MC Cp F1***MC PM F1***Zizi yield was 0.69 t/ha; MC PM F2>>MC Cp F2***MC PM F2 yield was 0.55 t/ha; MC PM F2>>MC Cp F2***MC PM F2***Zizi yield was 0.61 t/ha; MC PM F3>>MC Cp F3***MC PM F3 yield was 0.65 t/ha; MC PM F3>>MC Cp F3***MC PM F3***Zizi yield was 0.58 t/ha; MM F0>>MM F0***Zizi yield was 0.48 t/ha; MM F1 yield was 0.95 t/ha; MM F1>>MM F1***Zizi yield was 0.81 t/ha; MM F2 yield was 0.62 t/ha; MM F2>>MM F2***Zizi yield was 0.68 t/ha; MM F3 yield was 0.84 t/ha; MM F3>>MM F3***Zizi yield was 0.81 t/ha,Not collected in ERA,Not collected in ERA,NA
15,AC0169,Mutsamba,10.1016/j.njas.2019.100317,Zimbabwe,Murehwa Chigama..Murehwa Garwe..Murehwa Hakata..Murehwa Chidawaya..Murehwa Chikwerekwere..Murehwa Mahwamba..Murehwa Dzingai..Murehwa Chimani,-17.749,31.775,2015,Tropic - cool / semiarid,23.2,62.4,12.2,The mean annual precip at Murehwa Chigama..Murehwa Garwe..Murehwa Hakata..Murehwa Chidawaya..Murehwa Chikwerekwere..Murehwa Mahwamba..Murehwa Dzingai..Murehwa Chimani was 828 mm,Cowpea-Maize; Maize-Soybean; Groundnut-Maize,NA,"The base practices were Inorganic Fertilizer, Inorganic Fertilizer-Organic Fertilizer, Inorganic Fertilizer-Mulch-Reduced Tillage, and Inorganic Fertilizer-Mulch-Organic Fertilizer-Reduced Tillage. The experiment was rainfed","This experiment tested CT Sole Maize, CT Sole Maize + Manure, CA Sole Maize, CA Sole Maize + Manure, CT Sole Maize...CT Sole Maize + Manure, and CA Sole Maize...CA Sole Maize + Manure against CA Maize int>>CA Cp***CA Maize int, CA Maize int>>CA Maize int***CA Vb, CA Maize int + Manure>>CA Cp***CA Maize int, CA Maize int + Manure>>CA Maize int***CA Vb, CA Maize int + Manure<<CA Maize + manure+ groundnuts+ Manure, CA Maize int + Manure<<CA Maize..CA Maize+manure + Soybean..Soybean + Manure, CA Sole Maize...CA Sole Maize + Manure<<CA Maize..CA Maize+manure + Soybean..Soybean + Manure, CA Sole Maize...CA Sole Maize + Manure<<CA Maize ..CA Maize + manure+ groundnuts..groundnuts+ Manure, CA Cp***CA Maize int, CA Cp***CA Maize int + Manure, CA Maize int***CA Vb, CA Maize int + Manure***CA Vb, CA Maize+manure + Soybean + Manure, and CA Maize + manure+ groundnuts+ Manure.",Mulch-Reduced Tillage; Intercropping-Mulch-Reduced Tillage; Intercropping; Crop Rotation-Mulch-Reduced Tillage; Crop Rotation,"Yes, the experiment was done in 2 seasons",NA,NA,Split-plot RCBD with 8 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,CA Sole Maize yield was 2.73 t/ha; CA Sole Maize + Manure yield was 2.85 t/ha; CT Sole Maize yield was 2.77 t/ha; CT Sole Maize + Manure yield was 2.99 t/ha,CA Maize int + Manure<<CA Maize + manure+ groundnuts+ Manure yield was 1.7 t/ha; CA Maize int + Manure<<CA Maize..CA Maize+manure + Soybean..Soybean + Manure yield was 4.04 t/ha; CA Maize int + Manure>>CA Cp***CA Maize int yield was 2.28 t/ha; CA Maize int + Manure>>CA Maize int***CA Vb yield was 2.39 t/ha; CA Maize int>>CA Cp***CA Maize int yield was 2.56 t/ha; CA Maize int>>CA Maize int***CA Vb yield was 2.62 t/ha; CA Sole Maize yield was 3.19 t/ha; CA Sole Maize + Manure yield was 3.48 t/ha,Not collected in ERA,Not collected in ERA,NA
16,AG0003,Erkossa,10.1016/j.iswcr.2018.06.001,Ethiopia,Diga,9.0195,36.31939,2014;2015,Tropic - cool / subhumid,42.4,33.7,23.1,The mean annual precip at Diga was 1792 mm,Groundnut,The variety for Maize is BH543; The variety for Wheat is Kekeba; The variety for Groundnut is Burre; The variety for Fava Bean is Gabalcho,The base practices were  and Improved Varieties-Inorganic Fertilizer. The experiment was rainfed,"This experiment tested Groundnut+fertilizer No bund..Groundnut+ no fertilizer No bund, Groundnut+ no fertilizer soil bund..Groundnut+ no fertilizer No bund, No bund_ wheat row..No bund_ wheat broadcast, Faba bean_row No bund..Faba bean_broadcast No bund, and No bund_ wheat row..No bund_ wheat broadcast..Faba bean_row No bund..Faba bean_broadcast No bund against Groundnut+fertilizer Soil bund..Groundnut+ no fertilizer soil bund, Groundnut+fertilizer Soil bund..Groundnut+fertilizer No bund, Soil bund_ wheat row..Soil bund_wheat broadcast, Faba bean_row soil bund..Faba bean_broadcast soil bund, and Soil bund_ wheat row..Soil bund_wheat broadcast..Faba bean_row soil bund..Faba bean_broadcast soil bund.",Water Harvesting; Inorganic Fertilizer,"Yes, the experiment was done in 2 seasons",NA,NA,Split plot design with 1 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Faba bean_row No bund..Faba bean_broadcast No bund yield was 35 t/ha; Groundnut+ no fertilizer soil bund..Groundnut+ no fertilizer No bund yield was 1.6 t/ha; Groundnut+fertilizer No bund..Groundnut+ no fertilizer No bund yield was 5.2 t/ha; No bund_ wheat row..No bund_ wheat broadcast yield was 10.6 t/ha,Faba bean_row soil bund..Faba bean_broadcast soil bund yield was 24 t/ha; Groundnut+fertilizer Soil bund..Groundnut+ no fertilizer soil bund yield was 6 t/ha; Groundnut+fertilizer Soil bund..Groundnut+fertilizer No bund yield was 2 t/ha; Soil bund_ wheat row..Soil bund_wheat broadcast yield was 12.1 t/ha,Not collected in ERA,Not collected in ERA,NA
17,AG0032,Uko,10.3923/ja.2018.188.197,Nigeria,"FATR Farm, University of Calabar",4.95092,8.344,2013.1;2014.1,Tropic - warm / humid,26.8,57.6,12.9,"The mean annual precip at FATR Farm, University of Calabar was 2787 mm",Groundnut,NA,The base practices were Reduced Tillage-Water Harvesting and Reduced Tillage. The experiment was rainfed,"This experiment tested Ridges + 0PM, Flat tilled + 0PM, and Flat untilled + 0PM against Ridges + 5PM, Ridges + 10PM, Ridges + 15PM, Flat tilled + 5PM, Flat tilled + 10PM, Flat tilled + 15PM, Flat untilled + 5PM, Flat untilled + 10PM, and Flat untilled + 15PM.",Organic Fertilizer,"Yes, the experiment was done in 2 seasons",NA,NA,Randomized complete block design with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,Flat tilled + 0PM yield was 1.39 t/ha; Flat untilled + 0PM yield was 0.65 t/ha; Ridges + 0PM yield was 0.62 t/ha,Flat tilled + 10PM yield was 1.54 t/ha; Flat tilled + 15PM yield was 3.85 t/ha; Flat tilled + 5PM yield was 1.47 t/ha; Flat untilled + 10PM yield was 1.07 t/ha; Flat untilled + 15PM yield was 1.57 t/ha; Flat untilled + 5PM yield was 0.84 t/ha; Ridges + 10PM yield was 1.53 t/ha; Ridges + 15PM yield was 1.29 t/ha; Ridges + 5PM yield was 1.36 t/ha,Not collected in ERA,Not collected in ERA,NA
18,AG0033,Kwaga,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",Nigeria,"Teaching and Research Farm, Adamawa State University, Mubi",10.27994,13.27794,2011,Tropic - warm / semiarid,23.9,54.9,18.5,"The mean annual precip at Teaching and Research Farm, Adamawa State University, Mubi was 1015 mm",Cowpea,The variety for Cowpea is T97K-499-35; The variety for Cowpea is IT 97-131-2; The variety for Cowpea is IT 98KD-391; The variety for Cowpea is IAR-007-1050; The variety for Cowpea is IAR-00-1074; The variety for Cowpea is Kananndo,The base practices were Inorganic Fertilizer. The experiment was rainfed,"This experiment tested Kanannado against T97K-499-35, IT97K-131-2, IT98KD-391, IAR-17-1050, and IAR-07-1074.",Improved Varieties,No,NA,NA,Randomized complete block design with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,Kanannado yield was 1.22 t/ha,IAR-07-1074 yield was 2.24 t/ha; IAR-17-1050 yield was 2.71 t/ha; IT97K-131-2 yield was 2.21 t/ha; IT98KD-391 yield was 2.06 t/ha; T97K-499-35 yield was 1.53 t/ha,Not collected in ERA,Not collected in ERA,NA
19,AG0034,Okoth,http://www.cropj.com/omindi_8_8_2014_1140_1146.pdf,Kenya,"Asembo;Ugunja;KARI, Alupe;Asembo..Kanduyi..KARI, Alupe..Ugunja;Kanduyi",0.13333;0.16667;0.4962;0.5467;0.58333,34.38333;34.3;34.1308;34.56139;34.58333,2011.1.2011.2,Tropic - cool / humid,43.8;41;40.5;NA;39.5,36.2;39.6;42.9;NA;34.8,22.2;21.4;19.4;NA;23.4,"The mean annual precip at Asembo was 1736 mm; The mean annual precip at Ugunja was 1786 mm; The mean annual precip at KARI, Alupe was 1744 mm; The mean annual precip at Asembo..Kanduyi..KARI, Alupe..Ugunja was 1862 mm; The mean annual precip at Kanduyi was 1825 mm",Soybean,The variety for Soybean is Nyala; The variety for Soybean is TGx 1740-2F SB19; The variety for Soybean is TGx 1448-2E SB20,"The base practices were Inorganic Fertilizer-Mulch, Improved Varieties-Inorganic Fertilizer-Mulch, and Inorganic Fertilizer-Mulch-Reduced Tillage. The experiment was rainfed","This experiment tested ConvTill, Nyala, Till + Nyala, Till +SB19, Till + SB20, NoTill + Nyala, NoTill, SB19, and SB20 against NoTill + SB19 and NoTill + SB20.",Reduced Tillage; Improved Varieties; Improved Varieties-Reduced Tillage,No,NA,12,Randomized complete block design with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,ConvTill yield was 0.31 t/ha; NoTill yield was 0.42 t/ha; NoTill + Nyala yield was 0.32 t/ha; Nyala yield was 0.26 t/ha; SB19 yield was 0.47 t/ha; SB20 yield was 0.46 t/ha; Till + Nyala yield was 0.38 t/ha; Till + SB20 yield was 0.45 t/ha; Till +SB19 yield was 0.5 t/ha,NoTill yield was 0.23 t/ha; NoTill + Nyala yield was 0.32 t/ha; NoTill + SB19 yield was 0.41 t/ha; NoTill + SB20 yield was 0.46 t/ha; SB19 yield was 0.25 t/ha; SB20 yield was 0.25 t/ha; Till + SB20 yield was 0.45 t/ha; Till +SB19 yield was 0.5 t/ha,Not collected in ERA,Not collected in ERA,NA
20,AG0037,Teame,10.1155/2017/4767509,Ethiopia,Humera Agricultural Research Center,14.26667,36.62072,2015,Tropic - warm / semiarid,39.4,31,26.3,The mean annual precip at Humera Agricultural Research Center was 586 mm,Sesame,The variety for Sesame is Setit 1,The base practices were Improved Varieties-Inorganic Fertilizer. The experiment was rainfed,"This experiment tested Control against Sesame, Sorghum, Rice, and Sudan grass.",Mulch,No,NA,3.6,Randomized complete block design with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Control yield was 0.19 t/ha,Rice yield was 0.47 t/ha; Sesame yield was 0.52 t/ha; Sorghum yield was 0.52 t/ha; Sudan grass yield was 0.66 t/ha,Not collected in ERA,Not collected in ERA,NA
