PrName,Out.SubInd,Product.Simple,Observations,Studies
Other Agroforestry-Parklands-Solo,Soil Carbon Stocks,Coffee-Natural Fallow,7,1
Mulch-Solo,Crop Yield,Common Bean,5,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Common Bean,2,1
Crop Rotation-Mulch-Solo,Crop Yield,Common Bean,1,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Common Bean,4,1
Reduced Tillage-Solo,Gross Margin,Common Bean,6,1
Mulch-Solo,Gross Margin,Common Bean,5,1
Mulch-Reduced Tillage-Solo,Gross Margin,Common Bean,2,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Gross Margin,Common Bean,2,1
Crop Rotation-Mulch-Solo,Gross Margin,Common Bean,1,1
Crop Rotation-Reduced Tillage-Solo,Gross Margin,Common Bean,4,1
Crop Rotation-Solo,Gross Margin,Common Bean,1,1
Reduced Tillage-Solo,Erosion,Maize,2,1
Inorganic Fertilizer-Solo,Soil Moisture,Maize,3,1
Organic Fertilizer-Solo,Soil Moisture,Maize,9,1
Organic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Maize,3,1
Crop Residue-Intercropping-Reduced Tillage-Solo,Cation Exchange Capacity,Horsegram-Maize,2,1
Intercropping-Reduced Tillage-Solo,Cation Exchange Capacity,Maize,2,1
Inorganic Fertilizer-Solo,Crop Yield,Hibiscus,16,1
Intercropping-Solo,Crop Yield,Hibiscus,18,1
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Hibiscus,12,1
Inorganic Fertilizer-Solo,Net Return,Hibiscus,2,1
Improved Varieties-Intercropping-Solo,Net Return,Hibiscus-Maize,3,1
Improved Varieties-Inorganic Fertilizer-Intercropping-Solo,Net Return,Hibiscus-Maize,2,1
Improved Varieties-Intercropping-Solo,Net Return,Common Bean-Hibiscus,3,1
Improved Varieties-Inorganic Fertilizer-Intercropping-Solo,Net Return,Common Bean-Hibiscus,2,1
Improved Varieties-Intercropping-Solo,Net Return,Common Bean-Hibiscus-Maize,3,1
Improved Varieties-Inorganic Fertilizer-Intercropping-Solo,Net Return,Common Bean-Hibiscus-Maize,2,1
Intercropping-Solo,Land Equivalent Ratio,Common Bean-Hibiscus,3,1
Intercropping-Solo,Land Equivalent Ratio,Hibiscus-Maize,3,1
Intercropping-Solo,Land Equivalent Ratio,Common Bean-Maize,3,1
Crop Residue-Intercropping-Reduced Tillage-Solo,Cation Exchange Capacity,Maize-Pumpkin,2,1
Green Manure-Solo,Crop Yield,Maize,10,1
Green Manure-Solo,Land Equivalent Ratio,Ayocote bean-Maize,2,1
Green Manure-Solo,Land Equivalent Ratio,Common Bean-Maize,4,1
Green Manure-Solo,Land Equivalent Ratio,Maize-Sunn Hemp,2,1
Green Manure-Solo,Land Equivalent Ratio,Lablab-Maize,2,1
Intercropping-Reduced Tillage-Solo,Cation Exchange Capacity,Common Bean-Maize,2,1
Intercropping-Solo,Water Use Efficiency,Common Bean-Maize,4,1
Intercropping-Solo,Water Use Efficiency,Common Bean-Maize-Natural Fallow,4,1
Organic Fertilizer-Solo,Crop Yield,Fava Bean,5,1
Organic Fertilizer-Solo,Crop Yield,Squash (C.Moschata),5,1
Mulch-Reduced Tillage-Solo,Crop Residue Yield,Maize,2,1
Crop Residue Incorporation-Crop Rotation-Solo,Crop Residue Yield,Maize,2,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Residue Yield,Maize,2,1
Supplemental Irrigation-Solo,Water Use,Maize,8,1
Crop Rotation-Solo,Soil Moisture,Maize,4,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Moisture,Maize,2,1
Mulch-Solo,Soil Moisture,Maize,2,1
Crop Rotation-Mulch-Solo,Soil Moisture,Maize,15,1
Crop Residue Incorporation-Solo,Soil Moisture,Maize,2,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Moisture,Maize,1,1
Crop Rotation-Reduced Tillage-Solo,Soil Moisture,Maize,1,1
Crop Rotation-Solo,Soil Moisture,Wheat,4,1
Mulch-Reduced Tillage-Solo,Soil Moisture,Wheat,4,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Moisture,Wheat,2,1
Mulch-Solo,Soil Moisture,Wheat,14,1
Crop Rotation-Mulch-Solo,Soil Moisture,Wheat,1,1
Crop Residue Incorporation-Solo,Soil Moisture,Wheat,2,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Moisture,Wheat,1,1
Crop Rotation-Reduced Tillage-Solo,Soil Moisture,Wheat,1,1
Crop Rotation-Solo,Soil Total Nitrogen,Maize,12,1
Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Maize,12,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Maize,6,1
Mulch-Solo,Soil Total Nitrogen,Maize,6,1
Crop Rotation-Mulch-Solo,Soil Total Nitrogen,Maize,3,1
Crop Residue Incorporation-Solo,Soil Total Nitrogen,Maize,6,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Total Nitrogen,Maize,3,1
Reduced Tillage-Solo,Soil Total Nitrogen,Maize,6,1
Crop Rotation-Reduced Tillage-Solo,Soil Total Nitrogen,Maize,3,1
Crop Rotation-Solo,Soil Total Nitrogen,Wheat,12,1
Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Wheat,12,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Wheat,6,1
Mulch-Solo,Soil Total Nitrogen,Wheat,6,1
Crop Rotation-Mulch-Solo,Soil Total Nitrogen,Wheat,3,1
Crop Residue Incorporation-Solo,Soil Total Nitrogen,Wheat,6,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Total Nitrogen,Wheat,3,1
Reduced Tillage-Solo,Soil Total Nitrogen,Wheat,6,1
Crop Rotation-Reduced Tillage-Solo,Soil Total Nitrogen,Wheat,3,1
Crop Rotation-Solo,Soil Organic Carbon,Maize,12,1
Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Maize,12,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Maize,6,1
Mulch-Solo,Soil Organic Carbon,Maize,9,1
Crop Rotation-Mulch-Solo,Soil Organic Carbon,Maize,3,1
Crop Residue Incorporation-Solo,Soil Organic Carbon,Maize,6,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Organic Carbon,Maize,3,1
Reduced Tillage-Solo,Soil Organic Carbon,Maize,6,1
Crop Rotation-Reduced Tillage-Solo,Soil Organic Carbon,Maize,3,1
Crop Rotation-Solo,Soil Organic Carbon,Wheat,12,1
Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Wheat,12,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Wheat,6,1
Mulch-Solo,Soil Organic Carbon,Wheat,6,1
Crop Rotation-Mulch-Solo,Soil Organic Carbon,Wheat,3,1
Crop Residue Incorporation-Solo,Soil Organic Carbon,Wheat,6,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Organic Carbon,Wheat,3,1
Crop Rotation-Reduced Tillage-Solo,Soil Organic Carbon,Wheat,3,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Maize,8,1
Mulch-Solo,Crop Yield,Wheat,8,1
Crop Rotation-Mulch-Solo,Crop Yield,Wheat,4,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Wheat,8,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Wheat,4,1
Crop Residue Incorporation-Crop Rotation-Solo,Crop Yield,Wheat,4,1
Reduced Tillage-Solo,Biodiversity,Wheat,27,1
Crop Residue Incorporation-Solo,Biodiversity,Wheat,23,1
Crop Residue Incorporation-Reduced Tillage-Solo,Biodiversity,Wheat,5,1
Reduced Tillage-Solo,Biodiversity,Maize,19,1
Crop Residue Incorporation-Solo,Biodiversity,Maize,20,1
Crop Residue Incorporation-Reduced Tillage-Solo,Biodiversity,Maize,4,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Yield,Wheat,1,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Yield,Maize,1,1
Mulch-Reduced Tillage-Solo,Biodiversity,Maize,47,1
Crop Rotation-Solo,Biodiversity,Maize,16,1
Crop Residue Incorporation-Crop Rotation-Solo,Biodiversity,Maize,4,1
Crop Rotation-Reduced Tillage-Solo,Biodiversity,Maize,4,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Biodiversity,Maize,8,1
Mulch-Solo,Biodiversity,Maize,28,1
Crop Rotation-Mulch-Solo,Biodiversity,Maize,4,1
Mulch-Reduced Tillage-Solo,Biodiversity,Wheat,50,1
Crop Rotation-Solo,Biodiversity,Wheat,26,1
Crop Residue Incorporation-Crop Rotation-Solo,Biodiversity,Wheat,8,1
Crop Rotation-Reduced Tillage-Solo,Biodiversity,Wheat,8,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Biodiversity,Wheat,10,1
Mulch-Solo,Biodiversity,Wheat,29,1
Crop Rotation-Mulch-Solo,Biodiversity,Wheat,8,1
Crop Rotation-Solo,Cation Exchange Capacity,Maize-Wheat,2,1
Mulch-Solo,Biodiversity,Natural Fallow,216,1
Crop Residue Incorporation-Solo,Biodiversity,Natural Fallow,288,1
Crop Residue-Solo,Biodiversity,Natural Fallow,72,1
Biochar-Organic Fertilizer-Solo,Crop Yield,Maize,1,1
Biochar-Mulch-Organic Fertilizer-Solo,Crop Yield,Maize,3,1
Biochar-Inorganic Fertilizer-Mulch-Organic Fertilizer-Solo,Crop Yield,Maize,1,1
Crop Residue-Mulch-Solo,Crop Yield,Maize,20,1
Crop Residue-Mulch-Solo,Biomass Yield,Maize,20,1
Crop Residue-Mulch-Solo,Runoff,Maize,18,1
Crop Residue-Mulch-Solo,Erosion,Maize,18,1
Reduced Tillage-Solo,Cation Exchange Capacity,Maize,2,1
Crop Residue Incorporation-Solo,Crop Residue Yield,Maize,1,1
Reduced Tillage-Solo,Crop Residue Yield,Maize,1,1
Crop Residue Incorporation-Solo,Biomass Yield,Maize,2,1
Crop Residue Incorporation-Solo,Biomass Yield,Wheat,1,1
Mulch-Reduced Tillage-Solo,Biomass Yield,Wheat,2,1
Crop Residue-Mulch-Reduced Tillage-Solo,Crop Yield,Barley,9,1
Crop Residue-Mulch-Reduced Tillage-Solo,Water Use Efficiency,Barley,9,1
Crop Residue-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,9,1
Crop Residue-Mulch-Reduced Tillage-Solo,Water Use Efficiency,Maize,9,1
Mulch-Reduced Tillage-Solo,Biomass Yield,Oats,48,1
Mulch-Solo,Biomass Yield,Oats,48,1
Reduced Tillage-Solo,Gross Return,Maize-Oats,9,1
Mulch-Reduced Tillage-Solo,Gross Return,Maize-Oats,9,1
Mulch-Solo,Gross Return,Maize-Oats,9,1
Reduced Tillage-Solo,Gross Margin,Maize-Oats,9,1
Mulch-Reduced Tillage-Solo,Gross Margin,Maize-Oats,9,1
Mulch-Solo,Gross Margin,Maize-Oats,9,1
Reduced Tillage-Solo,Soil Organic Matter,Maize-Oats,6,1
Mulch-Reduced Tillage-Solo,Soil Organic Matter,Maize-Oats,6,1
Mulch-Solo,Soil Organic Matter,Maize-Oats,6,1
Reduced Tillage-Solo,Variable Cost,Maize-Oats,9,1
Mulch-Reduced Tillage-Solo,Variable Cost,Maize-Oats,9,1
Mulch-Solo,Variable Cost,Maize-Oats,9,1
Reduced Tillage-Solo,Infiltration Rate,Oats,8,1
Mulch-Reduced Tillage-Solo,Biomass Yield,Common Bean,1,1
Crop Residue-Solo,Crop Yield,Wheat,1,1
Crop Residue-Solo,Soil Available Nitrogen,Maize,8,1
Crop Residue-Solo,Soil Available Nitrogen,Wheat,8,1
Crop Residue-Solo,Nitrogen Use Efficiency (Isotopic Product),Maize,1,1
Crop Residue-Solo,Nitrogen Use Efficiency (Isotopic AGB),Maize,1,1
Crop Residue-Solo,Nitrogen Use Efficiency (Isotopic Product),Wheat,1,1
Crop Residue-Solo,Nitrogen Use Efficiency (Isotopic AGB),Wheat,1,1
Mulch-Solo,Crop Yield,Durum Wheat,94,1
Mulch-Reduced Tillage-Solo,Crop Yield,Durum Wheat,95,1
Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Durum Wheat,16,1
Mulch-Solo,Soil Total Nitrogen,Durum Wheat,20,1
Mulch-Reduced Tillage-Solo,Soil Moisture,Durum Wheat,38,1
Mulch-Solo,Soil Moisture,Durum Wheat,38,1
Mulch-Solo,Nitrous Oxide Emissions,Durum Wheat,19,1
Mulch-Reduced Tillage-Solo,Nitrous Oxide Emissions,Durum Wheat,19,1
Crop Rotation-Solo,Crop Yield,Safflower,10,1
Reduced Tillage-Solo,Crop Yield,Durum Wheat,6,1
Inorganic Fertilizer-Solo,Soil Total Nitrogen,Durum Wheat,7,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Durum Wheat,2,1
Inorganic Fertilizer-Mulch-Solo,Soil Total Nitrogen,Durum Wheat,4,1
Inorganic Fertilizer-Solo,Soil Organic Carbon,Durum Wheat,7,1
Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Durum Wheat,4,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Durum Wheat,2,1
Mulch-Solo,Soil Organic Carbon,Durum Wheat,8,1
Inorganic Fertilizer-Mulch-Solo,Soil Organic Carbon,Durum Wheat,4,1
Inorganic Fertilizer-Solo,Crop Yield,Durum Wheat,120,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Crop Yield,Durum Wheat,72,1
Inorganic Fertilizer-Mulch-Solo,Crop Yield,Durum Wheat,72,1
Agroforestry Pruning-Reduced Tillage-Solo,Crop Yield,Durum Wheat,2,1
Crop Rotation-Solo,Gross Return,Maize,2,1
Crop Rotation-Solo,Gross Return,Wheat,2,1
Crop Rotation-Solo,Gross Return,Safflower,2,1
Crop Rotation-Solo,Variable Cost,Maize,2,1
Crop Rotation-Solo,Variable Cost,Wheat,2,1
Crop Rotation-Solo,Variable Cost,Safflower,2,1
Crop Rotation-Solo,Benefit Cost Ratio (Unspecified),Maize,2,1
Crop Rotation-Solo,Benefit Cost Ratio (Unspecified),Wheat,2,1
Crop Rotation-Solo,Benefit Cost Ratio (Unspecified),Safflower,2,1
Crop Rotation-Solo,Net Return,Maize,2,1
Crop Rotation-Solo,Net Return,Wheat,2,1
Crop Rotation-Solo,Net Return,Safflower,2,1
Reduced Tillage-Solo,Soil Total Nitrogen,Natural Fallow,6,1
Reduced Tillage-Solo,Soil Organic Matter,Natural Fallow,6,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Wheat,15,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Wheat,6,1
Green Manure-Solo,Crop Yield,Wheat,9,1
Green Manure-Inorganic Fertilizer-Solo,Crop Yield,Wheat,3,1
Green Manure-Organic Fertilizer-Solo,Crop Yield,Wheat,3,1
Green Manure-Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Wheat,2,1
Crop Rotation-Organic Fertilizer-Solo,Crop Yield,Wheat,3,1
Crop Rotation-Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Wheat,2,1
Green Manure-Solo,Nitrogen Agronomic Efficiency,Wheat,8,1
Crop Rotation-Solo,Nitrogen Agronomic Efficiency,Wheat,8,1
Organic Fertilizer-Combo,Biomass Yield,Maize,12,1
Organic Fertilizer-Combo,Crop Yield,Soybean,8,1
Organic Fertilizer-Combo,Cation Exchange Capacity,Soybean,8,1
Organic Fertilizer-Combo,Soil Carbon Stocks,Maize,5,1
Organic Fertilizer-Combo,Soil Carbon Stocks,Wheat,5,1
Organic Fertilizer-Combo,Biomass Yield,Common Bean,2,1
Organic Fertilizer-Combo,Crop Yield,Grape,8,1
Organic Fertilizer-Combo,Biomass Yield,Cowpea,1,1
Organic Fertilizer-Combo,Crop Yield,Cowpea,1,1
Organic Fertilizer-Combo,Biomass Yield,Sunflower,6,1
Organic Fertilizer-Combo,Crop Yield,Sunflower,6,1
Organic Fertilizer-Combo,Biomass Yield,Cotton,6,1
Organic Fertilizer-Combo,Crop Yield,Cotton,12,1
Organic Fertilizer-Combo,Soil Moisture,Common Bean,9,1
Organic Fertilizer-Combo,Soil Organic Carbon,Common Bean,3,1
Organic Fertilizer-Combo,Water Use Efficiency,Common Bean,3,1
Organic Fertilizer-Combo,Gross Return,Common Bean,3,1
Organic Fertilizer-Combo,Cation Exchange Capacity,Common Bean,3,1
Organic Fertilizer-Combo,Total Cost (Unconfirmed),Common Bean,3,1
Organic Fertilizer-Combo,Net Return,Common Bean,3,1
Organic Fertilizer-Combo,Crop Yield,Wheat,16,1
Inorganic Fertilizer-Combo,Variable Cost,Arabica-Macadamia,188,1
Inorganic Fertilizer-Combo,Total Cost,Arabica-Macadamia,188,1
Inorganic Fertilizer-Combo,Gross Return,Arabica-Macadamia,48,1
Inorganic Fertilizer-Combo,Fixed Cost,Arabica-Macadamia,6,1
Inorganic Fertilizer-Combo,Total Cost,Sorghum,6,1
Inorganic Fertilizer-Combo,Gross Return,Sorghum,6,1
Inorganic Fertilizer-Combo,Net Return,Sorghum,6,1
Inorganic Fertilizer-Combo,Soil Carbon Stocks,Maize,5,1
Inorganic Fertilizer-Combo,Soil Carbon Stocks,Wheat,5,1
Inorganic Fertilizer-Combo,Biomass Yield,Black oats,81,1
Inorganic Fertilizer-Combo,Biomass Yield,Common Bean,2,1
Inorganic Fertilizer-Combo,Crop Yield,Common Bean,2,1
Inorganic Fertilizer-Combo,Crop Yield,Grape,8,1
Inorganic Fertilizer-Combo,Biomass Yield,Cowpea,5,1
Inorganic Fertilizer-Combo,Crop Yield,Cowpea,5,1
Inorganic Fertilizer-Combo,Biomass Yield,Cowpea-Maize,5,1
Inorganic Fertilizer-Combo,Crop Yield,Hibiscus,12,1
Inorganic Fertilizer-Combo,Net Return,Hibiscus-Maize,2,1
Inorganic Fertilizer-Combo,Net Return,Common Bean-Hibiscus,2,1
Inorganic Fertilizer-Combo,Net Return,Common Bean-Hibiscus-Maize,2,1
Inorganic Fertilizer-Combo,Soil Total Nitrogen,Durum Wheat,6,1
Inorganic Fertilizer-Combo,Soil Organic Carbon,Durum Wheat,6,1
Inorganic Fertilizer-Combo,Crop Yield,Durum Wheat,144,1
Harvest Method-Combo,Crop Yield,Maize,9,1
Harvest Method-Combo,Cation Exchange Capacity,Maize-Natural Fallow,12,1
Intercropping-Combo,Cation Exchange Capacity,Maize-Natural Fallow,12,1
Intercropping-Combo,Crop Yield,Coffee,1,1
Intercropping-Combo,Erosion,Maize,1,1
Intercropping-Combo,Crop Yield,Sorghum,6,1
Intercropping-Combo,Total Cost,Sorghum,6,1
Intercropping-Combo,Gross Return,Sorghum,6,1
Intercropping-Combo,Net Return,Sorghum,6,1
Intercropping-Combo,Biomass Yield,Sorghum,6,1
Intercropping-Combo,Cation Exchange Capacity,Horsegram-Maize,2,1
Intercropping-Combo,Cation Exchange Capacity,Maize,2,1
Intercropping-Combo,Crop Yield,Hibiscus,12,1
Intercropping-Combo,Net Return,Hibiscus-Maize,5,1
Intercropping-Combo,Net Return,Common Bean-Hibiscus,5,1
Intercropping-Combo,Net Return,Common Bean-Hibiscus-Maize,5,1
Intercropping-Combo,Cation Exchange Capacity,Maize-Pumpkin,2,1
Intercropping-Combo,Cation Exchange Capacity,Common Bean-Maize,2,1
Mulch-Combo,Cation Exchange Capacity,Maize-Natural Fallow,12,1
Mulch-Combo,Crop Yield,Cabbage,1,1
Mulch-Combo,Biomass Yield,Cowpea,1,1
Mulch-Combo,Crop Yield,Cowpea,1,1
Mulch-Combo,Gross Margin,Common Bean,5,1
Mulch-Combo,Crop Residue Yield,Maize,4,1
Mulch-Combo,Soil Moisture,Wheat,7,1
Mulch-Combo,Soil Total Nitrogen,Maize,21,1
Mulch-Combo,Soil Total Nitrogen,Wheat,21,1
Mulch-Combo,Soil Organic Carbon,Maize,21,1
Mulch-Combo,Soil Organic Carbon,Wheat,21,1
Mulch-Combo,Biodiversity,Maize,59,1
Mulch-Combo,Biodiversity,Wheat,68,1
Mulch-Combo,Biomass Yield,Maize,20,1
Mulch-Combo,Runoff,Maize,18,1
Mulch-Combo,Erosion,Maize,18,1
Mulch-Combo,Biomass Yield,Wheat,2,1
Mulch-Combo,Crop Yield,Barley,9,1
Mulch-Combo,Water Use Efficiency,Barley,9,1
Mulch-Combo,Water Use Efficiency,Maize,9,1
Mulch-Combo,Biomass Yield,Oats,48,1
Mulch-Combo,Gross Return,Maize-Oats,9,1
Mulch-Combo,Gross Margin,Maize-Oats,9,1
Mulch-Combo,Soil Organic Matter,Maize-Oats,6,1
Mulch-Combo,Variable Cost,Maize-Oats,9,1
Mulch-Combo,Biomass Yield,Common Bean,1,1
Mulch-Combo,Crop Yield,Durum Wheat,239,1
Mulch-Combo,Soil Total Nitrogen,Durum Wheat,22,1
Mulch-Combo,Soil Moisture,Durum Wheat,38,1
Mulch-Combo,Nitrous Oxide Emissions,Durum Wheat,19,1
Mulch-Combo,Soil Organic Carbon,Durum Wheat,10,1
Reduced Tillage-Combo,Crop Yield,Cotton,1,1
Reduced Tillage-Combo,Crop Yield,Cabbage,1,1
Reduced Tillage-Combo,Crop Residue Yield,Common Bean,2,1
Reduced Tillage-Combo,Crop Yield,Soybean,18,1
Reduced Tillage-Combo,Gross Margin,Common Bean,8,1
Reduced Tillage-Combo,Cation Exchange Capacity,Horsegram-Maize,2,1
Reduced Tillage-Combo,Cation Exchange Capacity,Maize,2,1
Reduced Tillage-Combo,Cation Exchange Capacity,Maize-Pumpkin,2,1
Reduced Tillage-Combo,Cation Exchange Capacity,Common Bean-Maize,2,1
Reduced Tillage-Combo,Crop Residue Yield,Maize,4,1
Reduced Tillage-Combo,Soil Moisture,Wheat,7,1
Reduced Tillage-Combo,Soil Total Nitrogen,Maize,21,1
Reduced Tillage-Combo,Soil Total Nitrogen,Wheat,21,1
Reduced Tillage-Combo,Soil Organic Carbon,Maize,21,1
Reduced Tillage-Combo,Soil Organic Carbon,Wheat,21,1
Reduced Tillage-Combo,Biodiversity,Wheat,73,1
Reduced Tillage-Combo,Biodiversity,Maize,63,1
Reduced Tillage-Combo,Biomass Yield,Wheat,2,1
Reduced Tillage-Combo,Crop Yield,Barley,9,1
Reduced Tillage-Combo,Water Use Efficiency,Barley,9,1
Reduced Tillage-Combo,Water Use Efficiency,Maize,9,1
Reduced Tillage-Combo,Biomass Yield,Oats,48,1
Reduced Tillage-Combo,Gross Return,Maize-Oats,9,1
Reduced Tillage-Combo,Gross Margin,Maize-Oats,9,1
Reduced Tillage-Combo,Soil Organic Matter,Maize-Oats,6,1
Reduced Tillage-Combo,Variable Cost,Maize-Oats,9,1
Reduced Tillage-Combo,Biomass Yield,Common Bean,1,1
Reduced Tillage-Combo,Crop Yield,Durum Wheat,169,1
Reduced Tillage-Combo,Soil Total Nitrogen,Durum Wheat,18,1
Reduced Tillage-Combo,Soil Moisture,Durum Wheat,38,1
Reduced Tillage-Combo,Nitrous Oxide Emissions,Durum Wheat,19,1
Reduced Tillage-Combo,Soil Organic Carbon,Durum Wheat,6,1
Crop Rotation-Combo,Crop Yield,Cotton,1,1
Crop Rotation-Combo,Crop Yield,Soybean,2,1
Crop Rotation-Combo,Gross Margin,Common Bean,7,1
Crop Rotation-Combo,Crop Residue Yield,Maize,4,1
Crop Rotation-Combo,Soil Moisture,Maize,19,1
Crop Rotation-Combo,Soil Moisture,Wheat,5,1
Crop Rotation-Combo,Soil Total Nitrogen,Maize,15,1
Crop Rotation-Combo,Soil Total Nitrogen,Wheat,15,1
Crop Rotation-Combo,Soil Organic Carbon,Maize,15,1
Crop Rotation-Combo,Soil Organic Carbon,Wheat,15,1
Crop Rotation-Combo,Biodiversity,Maize,20,1
Crop Rotation-Combo,Biodiversity,Wheat,34,1
Supplemental Irrigation-Combo,Crop Yield,Coffee,1,1
Supplemental Irrigation-Combo,Crop Yield,Macadamia,5,1
Supplemental Irrigation-Combo,Gross Return,Macadamia,5,1
Crop Residue Incorporation-Combo,Crop Yield,Cabbage,1,1
Crop Residue Incorporation-Combo,Crop Yield,Common Bean,2,1
Crop Residue Incorporation-Combo,Crop Residue Yield,Common Bean,2,1
Crop Residue Incorporation-Combo,Crop Yield,Soybean,18,1
Crop Residue Incorporation-Combo,Crop Residue Yield,Maize,2,1
Crop Residue Incorporation-Combo,Soil Moisture,Maize,1,1
Crop Residue Incorporation-Combo,Soil Moisture,Wheat,1,1
Crop Residue Incorporation-Combo,Soil Total Nitrogen,Maize,3,1
Crop Residue Incorporation-Combo,Soil Total Nitrogen,Wheat,3,1
Crop Residue Incorporation-Combo,Soil Organic Carbon,Maize,3,1
Crop Residue Incorporation-Combo,Soil Organic Carbon,Wheat,3,1
Crop Residue Incorporation-Combo,Crop Yield,Wheat,5,1
Crop Residue Incorporation-Combo,Biodiversity,Wheat,13,1
Crop Residue Incorporation-Combo,Biodiversity,Maize,8,1
Multistrata Agroforestry-Combo,Crop Yield,Macadamia,5,1
Multistrata Agroforestry-Combo,Gross Return,Macadamia,5,1
Multistrata Agroforestry-Combo,Variable Cost,Arabica-Macadamia,188,1
Multistrata Agroforestry-Combo,Total Cost,Arabica-Macadamia,188,1
Multistrata Agroforestry-Combo,Gross Return,Arabica-Macadamia,48,1
Multistrata Agroforestry-Combo,Fixed Cost,Arabica-Macadamia,6,1
Multistrata Agroforestry-Combo,Soil Carbon Stocks,Coffee-Rubber,4,1
Multistrata Agroforestry-Combo,Soil Organic Carbon,Coffee-Rubber,4,1
Multistrata Agroforestry-Combo,Crop Yield,Coffee,1,1
Multistrata Agroforestry-Combo,Soil Organic Carbon,Coffee,2,1
Multistrata Agroforestry-Combo,Soil Total Nitrogen,Coffee,2,1
Agroforestry Pruning-Combo,Biomass Yield,Sorghum,48,1
Agroforestry Pruning-Combo,Crop Yield,Sorghum,24,1
Agroforestry Pruning-Combo,Biomass Yield,Sunflower,6,1
Agroforestry Pruning-Combo,Crop Yield,Sunflower,6,1
Agroforestry Pruning-Combo,Biomass Yield,Cotton,6,1
Agroforestry Pruning-Combo,Crop Yield,Cotton,12,1
Agroforestry Pruning-Combo,Crop Yield,Coffee,1,1
Agroforestry Pruning-Combo,Soil Organic Carbon,Coffee,2,1
Agroforestry Pruning-Combo,Soil Total Nitrogen,Coffee,2,1
Agroforestry Pruning-Combo,Crop Yield,Durum Wheat,2,1
pH Control-Combo,Crop Yield,Wheat,32,1
pH Control-Combo,Variable Cost,Arabica-Macadamia,47,1
pH Control-Combo,Total Cost,Arabica-Macadamia,47,1
pH Control-Combo,Gross Return,Arabica-Macadamia,48,1
pH Control-Combo,Cation Exchange Capacity,Soybean,8,1
pH Control-Combo,Biomass Yield,Black oats,81,1
pH Control-Combo,Crop Yield,Common Bean,4,1
pH Control-Combo,Biomass Yield,Cowpea,5,1
pH Control-Combo,Biomass Yield,Maize,5,1
pH Control-Combo,Crop Yield,Cowpea,5,1
pH Control-Combo,Biomass Yield,Cowpea-Maize,5,1
Other Agroforestry-Combo,Cation Exchange Capacity,Coffee-Natural Fallow,7,1
Other Agroforestry-Combo,Nitrous Oxide Emissions,Coffee-Natural Fallow,81,1
Other Agroforestry-Combo,Soil Carbon Stocks,Coffee-Natural Fallow,7,1
Improved Varieties-Combo,Erosion,Maize,1,1
Improved Varieties-Combo,Soil Carbon Stocks,Coffee-Rubber,4,1
Improved Varieties-Combo,Soil Organic Carbon,Coffee-Rubber,4,1
Improved Varieties-Combo,Net Return,Hibiscus-Maize,5,1
Improved Varieties-Combo,Net Return,Common Bean-Hibiscus,5,1
Improved Varieties-Combo,Net Return,Common Bean-Hibiscus-Maize,5,1
