PrName,Out.SubInd,Country,Observations,Studies
Mulch-Reduced Tillage-Solo,Nitrous Oxide Emissions,Mexico,19,1
Inorganic Fertilizer-Solo,Soil Total Nitrogen,Mexico,7,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Mexico,2,1
Inorganic Fertilizer-Mulch-Solo,Soil Total Nitrogen,Mexico,4,1
Inorganic Fertilizer-Solo,Soil Organic Carbon,Mexico,7,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Mexico,2,1
Inorganic Fertilizer-Mulch-Solo,Soil Organic Carbon,Mexico,4,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Crop Yield,Mexico,72,1
Agroforestry Pruning-Reduced Tillage-Solo,Crop Yield,Mexico,2,1
Crop Rotation-Solo,Gross Return,Mexico,6,1
Crop Rotation-Solo,Variable Cost,Mexico,6,1
Crop Rotation-Solo,Benefit Cost Ratio (Unspecified),Mexico,6,1
Crop Rotation-Solo,Net Return,Mexico,6,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Mexico,15,1
Green Manure-Inorganic Fertilizer-Solo,Crop Yield,Mexico,3,1
Green Manure-Organic Fertilizer-Solo,Crop Yield,Mexico,3,1
Green Manure-Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Mexico,2,1
Crop Rotation-Organic Fertilizer-Solo,Crop Yield,Mexico,3,1
Crop Rotation-Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Mexico,2,1
Green Manure-Solo,Nitrogen Agronomic Efficiency,Mexico,8,1
Crop Rotation-Solo,Nitrogen Agronomic Efficiency,Mexico,8,1
Organic Fertilizer-Combo,Soil Carbon Stocks,Brazil,10,1
Organic Fertilizer-Combo,Soil Moisture,Brazil,9,1
Organic Fertilizer-Combo,Soil Organic Carbon,Brazil,3,1
Organic Fertilizer-Combo,Water Use Efficiency,Brazil,3,1
Organic Fertilizer-Combo,Gross Return,Brazil,3,1
Organic Fertilizer-Combo,Total Cost (Unconfirmed),Brazil,3,1
Organic Fertilizer-Combo,Net Return,Brazil,3,1
Inorganic Fertilizer-Combo,Variable Cost,Brazil,188,1
Inorganic Fertilizer-Combo,Fixed Cost,Brazil,6,1
Inorganic Fertilizer-Combo,Net Return,Brazil,6,1
Inorganic Fertilizer-Combo,Soil Carbon Stocks,Brazil,10,1
Inorganic Fertilizer-Combo,Net Return,Mexico,6,1
Inorganic Fertilizer-Combo,Soil Total Nitrogen,Mexico,6,1
Inorganic Fertilizer-Combo,Soil Organic Carbon,Mexico,6,1
Harvest Method-Combo,Crop Yield,Brazil,9,1
Harvest Method-Combo,Cation Exchange Capacity,Brazil,12,1
Intercropping-Combo,Cation Exchange Capacity,Brazil,12,1
Intercropping-Combo,Erosion,Brazil,1,1
Intercropping-Combo,Total Cost,Brazil,6,1
Intercropping-Combo,Gross Return,Brazil,6,1
Intercropping-Combo,Net Return,Brazil,6,1
Intercropping-Combo,Crop Yield,Mexico,14,1
Intercropping-Combo,Net Return,Mexico,15,1
Mulch-Combo,Cation Exchange Capacity,Brazil,12,1
Mulch-Combo,Biomass Yield,Brazil,1,1
Mulch-Combo,Crop Yield,Nicaragua,5,1
Mulch-Combo,Gross Margin,Nicaragua,5,1
Mulch-Combo,Crop Residue Yield,Mexico,4,1
Mulch-Combo,Biodiversity,Mexico,127,1
Mulch-Combo,Runoff,Mexico,18,1
Mulch-Combo,Erosion,Mexico,18,1
Mulch-Combo,Water Use Efficiency,Mexico,18,1
Mulch-Combo,Gross Return,Mexico,9,1
Mulch-Combo,Gross Margin,Mexico,9,1
Mulch-Combo,Soil Organic Matter,Mexico,6,1
Mulch-Combo,Variable Cost,Mexico,9,1
Mulch-Combo,Nitrous Oxide Emissions,Mexico,19,1
Reduced Tillage-Combo,Crop Residue Yield,Brazil,2,1
Reduced Tillage-Combo,Crop Yield,Nicaragua,8,1
Reduced Tillage-Combo,Gross Margin,Nicaragua,8,1
Reduced Tillage-Combo,Crop Residue Yield,Mexico,4,1
Reduced Tillage-Combo,Biodiversity,Mexico,136,1
Reduced Tillage-Combo,Water Use Efficiency,Mexico,18,1
Reduced Tillage-Combo,Gross Return,Mexico,9,1
Reduced Tillage-Combo,Gross Margin,Mexico,9,1
Reduced Tillage-Combo,Soil Organic Matter,Mexico,6,1
Reduced Tillage-Combo,Variable Cost,Mexico,9,1
Reduced Tillage-Combo,Nitrous Oxide Emissions,Mexico,19,1
Crop Rotation-Combo,Crop Yield,Nicaragua,7,1
Crop Rotation-Combo,Gross Margin,Nicaragua,7,1
Crop Rotation-Combo,Crop Residue Yield,Mexico,4,1
Crop Rotation-Combo,Soil Moisture,Mexico,24,1
Crop Rotation-Combo,Soil Total Nitrogen,Mexico,30,1
Crop Rotation-Combo,Soil Organic Carbon,Mexico,30,1
Crop Rotation-Combo,Biodiversity,Mexico,54,1
Supplemental Irrigation-Combo,Gross Return,Brazil,5,1
Crop Residue Incorporation-Combo,Crop Residue Yield,Brazil,2,1
Crop Residue Incorporation-Combo,Crop Residue Yield,Mexico,2,1
Crop Residue Incorporation-Combo,Soil Moisture,Mexico,2,1
Crop Residue Incorporation-Combo,Soil Total Nitrogen,Mexico,6,1
Crop Residue Incorporation-Combo,Soil Organic Carbon,Mexico,6,1
Crop Residue Incorporation-Combo,Biodiversity,Mexico,21,1
Multistrata Agroforestry-Combo,Crop Yield,Brazil,5,1
Multistrata Agroforestry-Combo,Variable Cost,Brazil,188,1
Multistrata Agroforestry-Combo,Total Cost,Brazil,188,1
Multistrata Agroforestry-Combo,Fixed Cost,Brazil,6,1
Multistrata Agroforestry-Combo,Soil Carbon Stocks,Brazil,4,1
Multistrata Agroforestry-Combo,Soil Organic Carbon,Brazil,4,1
Multistrata Agroforestry-Combo,Crop Yield,Costa Rica,1,1
Multistrata Agroforestry-Combo,Soil Organic Carbon,Costa Rica,2,1
Multistrata Agroforestry-Combo,Soil Total Nitrogen,Costa Rica,2,1
Agroforestry Pruning-Combo,Crop Yield,Costa Rica,1,1
Agroforestry Pruning-Combo,Soil Organic Carbon,Costa Rica,2,1
Agroforestry Pruning-Combo,Soil Total Nitrogen,Costa Rica,2,1
Agroforestry Pruning-Combo,Crop Yield,Mexico,2,1
pH Control-Combo,Variable Cost,Brazil,47,1
pH Control-Combo,Total Cost,Brazil,47,1
pH Control-Combo,Gross Return,Brazil,48,1
pH Control-Combo,Cation Exchange Capacity,Brazil,8,1
Other Agroforestry-Combo,Cation Exchange Capacity,Costa Rica,7,1
Other Agroforestry-Combo,Nitrous Oxide Emissions,Costa Rica,81,1
Other Agroforestry-Combo,Soil Carbon Stocks,Costa Rica,7,1
Improved Varieties-Combo,Erosion,Brazil,1,1
Improved Varieties-Combo,Soil Carbon Stocks,Brazil,4,1
Improved Varieties-Combo,Soil Organic Carbon,Brazil,4,1
Improved Varieties-Combo,Net Return,Mexico,15,1
Biochar-Combo,Biomass Yield,Brazil,4,1
Biochar-Combo,Soil Moisture,Brazil,9,1
Biochar-Combo,Soil Organic Carbon,Brazil,3,1
Biochar-Combo,Crop Yield,Brazil,3,1
Biochar-Combo,Water Use Efficiency,Brazil,3,1
Biochar-Combo,Gross Return,Brazil,3,1
Biochar-Combo,Cation Exchange Capacity,Brazil,3,1
Biochar-Combo,Total Cost (Unconfirmed),Brazil,3,1
Biochar-Combo,Net Return,Brazil,3,1
Biochar-Combo,Crop Yield,Mexico,5,1
Alleycropping-Combo,Biomass Yield,Brazil,48,1
Parklands-Combo,Cation Exchange Capacity,Costa Rica,7,1
Parklands-Combo,Nitrous Oxide Emissions,Costa Rica,81,1
Parklands-Combo,Soil Carbon Stocks,Costa Rica,7,1
Crop Residue-Combo,Crop Residue Yield,Brazil,2,1
Crop Residue-Combo,Crop Residue Yield,Mexico,2,1
Crop Residue-Combo,Soil Moisture,Mexico,2,1
Crop Residue-Combo,Soil Total Nitrogen,Mexico,6,1
Crop Residue-Combo,Soil Organic Carbon,Mexico,6,1
Crop Residue-Combo,Biodiversity,Mexico,21,1
Crop Residue-Combo,Biomass Yield,Mexico,20,1
Crop Residue-Combo,Runoff,Mexico,18,1
Crop Residue-Combo,Erosion,Mexico,18,1
Crop Residue-Combo,Water Use Efficiency,Mexico,18,1
Green Manure-Combo,Crop Yield,Mexico,8,1
