PrName,Out.SubInd,Product.Simple,Country,AEZ16simple,Observations,Studies
Inorganic Fertilizer-pH Control-Solo,Biomass Yield,Cowpea,Brazil,,5,1
pH Control-Solo,Biomass Yield,Cowpea,Brazil,,3,1
Inorganic Fertilizer-pH Control-Solo,Biomass Yield,Maize,Brazil,,5,1
Inorganic Fertilizer-Solo,Crop Yield,Cowpea,Brazil,,5,1
Inorganic Fertilizer-pH Control-Solo,Crop Yield,Cowpea,Brazil,,5,1
pH Control-Solo,Crop Yield,Cowpea,Brazil,,3,1
Inorganic Fertilizer-pH Control-Solo,Crop Yield,Maize,Brazil,,5,1
Inorganic Fertilizer-Solo,Biomass Yield,Cowpea-Maize,Brazil,,5,1
Inorganic Fertilizer-pH Control-Solo,Biomass Yield,Cowpea-Maize,Brazil,,5,1
pH Control-Solo,Biomass Yield,Cowpea-Maize,Brazil,,3,1
Agroforestry Pruning-Alleycropping-Solo,Biomass Yield,Sorghum,Brazil,,32,1
Agroforestry Pruning-Alleycropping-Inorganic Fertilizer-Solo,Biomass Yield,Sorghum,Brazil,,16,1
Agroforestry Pruning-Alleycropping-Solo,Crop Yield,Sorghum,Brazil,,16,1
Agroforestry Pruning-Alleycropping-Inorganic Fertilizer-Solo,Crop Yield,Sorghum,Brazil,,8,1
Organic Fertilizer-Solo,Crop Yield,Sweet Potato,Brazil,,10,1
Agroforestry Pruning-Organic Fertilizer-Solo,Biomass Yield,Sunflower,Brazil,,6,1
Agroforestry Pruning-Solo,Biomass Yield,Sunflower,Brazil,,4,1
Organic Fertilizer-Solo,Biomass Yield,Sunflower,Brazil,,2,1
Agroforestry Pruning-Organic Fertilizer-Solo,Crop Yield,Sunflower,Brazil,,6,1
Agroforestry Pruning-Solo,Crop Yield,Sunflower,Brazil,,4,1
Organic Fertilizer-Solo,Crop Yield,Sunflower,Brazil,,2,1
Agroforestry Pruning-Organic Fertilizer-Solo,Biomass Yield,Cotton,Brazil,,6,1
Agroforestry Pruning-Solo,Biomass Yield,Cotton,Brazil,,4,1
Organic Fertilizer-Solo,Biomass Yield,Cotton,Brazil,,2,1
Agroforestry Pruning-Organic Fertilizer-Solo,Crop Yield,Cotton,Brazil,,12,1
Agroforestry Pruning-Solo,Crop Yield,Cotton,Brazil,,8,1
Organic Fertilizer-Solo,Crop Yield,Cotton,Brazil,,4,1
Intercropping-Solo,Biomass Yield,Opuntia stricta,Brazil,,10,1
Intercropping-Solo,Water Use Efficiency,Opuntia stricta,Brazil,,5,1
Biochar-Solo,Soil Moisture,Common Bean,Brazil,,18,1
Organic Fertilizer-Solo,Soil Moisture,Common Bean,Brazil,,12,1
Biochar-Organic Fertilizer-Solo,Soil Moisture,Common Bean,Brazil,,9,1
Biochar-Solo,Soil Organic Carbon,Common Bean,Brazil,,6,1
Organic Fertilizer-Solo,Soil Organic Carbon,Common Bean,Brazil,,4,1
Biochar-Organic Fertilizer-Solo,Soil Organic Carbon,Common Bean,Brazil,,3,1
Biochar-Solo,Crop Yield,Common Bean,Brazil,,6,1
Biochar-Organic Fertilizer-Solo,Crop Yield,Common Bean,Brazil,,3,1
Biochar-Solo,Water Use Efficiency,Common Bean,Brazil,,6,1
Organic Fertilizer-Solo,Water Use Efficiency,Common Bean,Brazil,,4,1
Biochar-Organic Fertilizer-Solo,Water Use Efficiency,Common Bean,Brazil,,3,1
Biochar-Solo,Gross Return,Common Bean,Brazil,,6,1
Organic Fertilizer-Solo,Gross Return,Common Bean,Brazil,,4,1
Biochar-Organic Fertilizer-Solo,Gross Return,Common Bean,Brazil,,3,1
Biochar-Solo,Cation Exchange Capacity,Common Bean,Brazil,,6,1
Organic Fertilizer-Solo,Cation Exchange Capacity,Common Bean,Brazil,,4,1
Biochar-Organic Fertilizer-Solo,Cation Exchange Capacity,Common Bean,Brazil,,3,1
Biochar-Solo,Total Cost (Unconfirmed),Common Bean,Brazil,,6,1
Organic Fertilizer-Solo,Total Cost (Unconfirmed),Common Bean,Brazil,,4,1
Biochar-Organic Fertilizer-Solo,Total Cost (Unconfirmed),Common Bean,Brazil,,3,1
Biochar-Solo,Net Return,Common Bean,Brazil,,6,1
Organic Fertilizer-Solo,Net Return,Common Bean,Brazil,,4,1
Biochar-Organic Fertilizer-Solo,Net Return,Common Bean,Brazil,,3,1
Mulch-Solo,Biodiversity,Cowpea,Brazil,,18,1
Mulch-Solo,Soil Moisture,Cowpea,Brazil,,3,1
Mulch-Solo,Soil Organic Matter,Cowpea,Brazil,,3,1
Mulch-Solo,Cation Exchange Capacity,Cowpea,Brazil,,3,1
Inorganic Fertilizer-Solo,Net Return,Maize,Brazil,,6,1
Intercropping-Solo,Crop Yield,Maize,Guatemala,,7,1
Crop Residue-Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,6,1
Crop Residue-Intercropping-Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,4,1
Crop Residue-Intercropping-Solo,Crop Yield,Maize,Brazil,,2,1
Intercropping-Solo,Crop Yield,Common Bean,Colombia,,8,1
Intercropping-Solo,Crop Yield,Maize,Colombia,,8,1
Intercropping-Solo,Crop Yield,Cassava,Brazil,,8,1
Intercropping-Solo,Crop Yield,Cowpea,Brazil,,4,1
Multistrata Agroforestry-Solo,Biodiversity,Coffee-Natural Fallow,Costa Rica,,2,1
Agroforestry Pruning-Multistrata Agroforestry-Solo,Crop Yield,Coffee,Costa Rica,,1,1
Multistrata Agroforestry-Solo,Crop Yield,Coffee,Costa Rica,,6,1
Multistrata Agroforestry-Solo,Labour Person Hours,Coffee-Natural Fallow,Costa Rica,,12,1
Agroforestry Pruning-Multistrata Agroforestry-Solo,Soil Organic Carbon,Coffee,Costa Rica,,2,1
Agroforestry Pruning-Multistrata Agroforestry-Solo,Soil Total Nitrogen,Coffee,Costa Rica,,2,1
Multistrata Agroforestry-Solo,Soil Organic Carbon,Coffee,Costa Rica,,8,1
Multistrata Agroforestry-Solo,Soil Nitrogen,Coffee,Costa Rica,,12,1
Multistrata Agroforestry-Solo,Soil Carbon Stocks,Coffee,Costa Rica,,4,1
Multistrata Agroforestry-Solo,Aboveground Carbon Biomass,Coffee,Costa Rica,,1,1
Multistrata Agroforestry-Solo,Belowground Carbon Biomass,Coffee,Costa Rica,,1,1
Double Cropping-Solo,Crop Yield,Coffee,Costa Rica,,12,1
Double Cropping-Solo,Biomass Yield,Coffee,Costa Rica,,4,1
Alleycropping-Solo,Nitrous Oxide Emissions,Coffee-Natural Fallow,Costa Rica,,100,1
Alleycropping-Solo,Carbon Dioxide Emissions,Coffee-Natural Fallow,Costa Rica,,100,1
Alleycropping-Solo,Methane Emissions,Coffee-Natural Fallow,Costa Rica,,100,1
Alleycropping-Solo,Soil Moisture,Coffee-Natural Fallow,Costa Rica,,80,1
Other Agroforestry-Parklands-Solo,Cation Exchange Capacity,Coffee-Natural Fallow,Costa Rica,,7,1
Other Agroforestry-Parklands-Solo,Nitrous Oxide Emissions,Coffee-Natural Fallow,Costa Rica,,81,1
Other Agroforestry-Parklands-Solo,Soil Carbon Stocks,Coffee-Natural Fallow,Costa Rica,,7,1
Reduced Tillage-Solo,Crop Yield,Common Bean,Nicaragua,,6,1
Mulch-Solo,Crop Yield,Common Bean,Nicaragua,,5,1
Mulch-Reduced Tillage-Solo,Crop Yield,Common Bean,Nicaragua,,2,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Common Bean,Nicaragua,,2,1
Crop Rotation-Mulch-Solo,Crop Yield,Common Bean,Nicaragua,,1,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Common Bean,Nicaragua,,4,1
Crop Rotation-Solo,Crop Yield,Common Bean,Nicaragua,,1,1
Reduced Tillage-Solo,Gross Margin,Common Bean,Nicaragua,,6,1
Mulch-Solo,Gross Margin,Common Bean,Nicaragua,,5,1
Mulch-Reduced Tillage-Solo,Gross Margin,Common Bean,Nicaragua,,2,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Gross Margin,Common Bean,Nicaragua,,2,1
Crop Rotation-Mulch-Solo,Gross Margin,Common Bean,Nicaragua,,1,1
Crop Rotation-Reduced Tillage-Solo,Gross Margin,Common Bean,Nicaragua,,4,1
Crop Rotation-Solo,Gross Margin,Common Bean,Nicaragua,,1,1
Reduced Tillage-Solo,Erosion,Maize,Guatemala,,2,1
Inorganic Fertilizer-Solo,Soil Moisture,Maize,Honduras,,3,1
Organic Fertilizer-Solo,Soil Moisture,Maize,Honduras,,9,1
Inorganic Fertilizer-Solo,Crop Yield,Maize,Honduras,,1,1
Organic Fertilizer-Solo,Crop Yield,Maize,Honduras,,3,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Maize,Honduras,,1,1
Organic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Maize,Honduras,,3,1
Crop Residue-Intercropping-Reduced Tillage-Solo,Cation Exchange Capacity,Horsegram-Maize,Mexico,,2,1
Intercropping-Reduced Tillage-Solo,Cation Exchange Capacity,Maize,Mexico,,2,1
Inorganic Fertilizer-Solo,Crop Yield,Hibiscus,Mexico,,16,1
Intercropping-Solo,Crop Yield,Hibiscus,Mexico,,18,1
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Hibiscus,Mexico,,12,1
Inorganic Fertilizer-Solo,Crop Yield,Common Bean,Mexico,,2,1
Intercropping-Solo,Crop Yield,Common Bean,Mexico,,9,1
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Maize,Mexico,,2,1
Inorganic Fertilizer-Solo,Net Return,Hibiscus,Mexico,,2,1
Improved Varieties-Intercropping-Solo,Net Return,Hibiscus-Maize,Mexico,,3,1
Improved Varieties-Inorganic Fertilizer-Intercropping-Solo,Net Return,Hibiscus-Maize,Mexico,,2,1
Improved Varieties-Intercropping-Solo,Net Return,Common Bean-Hibiscus,Mexico,,3,1
Improved Varieties-Inorganic Fertilizer-Intercropping-Solo,Net Return,Common Bean-Hibiscus,Mexico,,2,1
Improved Varieties-Intercropping-Solo,Net Return,Common Bean-Hibiscus-Maize,Mexico,,3,1
Improved Varieties-Inorganic Fertilizer-Intercropping-Solo,Net Return,Common Bean-Hibiscus-Maize,Mexico,,2,1
Intercropping-Solo,Land Equivalent Ratio,Common Bean-Hibiscus,Mexico,,3,1
Intercropping-Solo,Land Equivalent Ratio,Hibiscus-Maize,Mexico,,3,1
Intercropping-Solo,Land Equivalent Ratio,Common Bean-Maize,Mexico,,3,1
Crop Residue-Intercropping-Reduced Tillage-Solo,Cation Exchange Capacity,Maize-Pumpkin,Mexico,,2,1
Green Manure-Solo,Crop Yield,Maize,Mexico,,10,1
Green Manure-Solo,Land Equivalent Ratio,Ayocote bean-Maize,Mexico,,2,1
Green Manure-Solo,Land Equivalent Ratio,Common Bean-Maize,Mexico,,4,1
Green Manure-Solo,Land Equivalent Ratio,Maize-Sunn Hemp,Mexico,,2,1
Green Manure-Solo,Land Equivalent Ratio,Lablab-Maize,Mexico,,2,1
Intercropping-Solo,Biomass Yield,Maize,Mexico,,2,1
Intercropping-Reduced Tillage-Solo,Cation Exchange Capacity,Common Bean-Maize,Mexico,,2,1
Intercropping-Solo,Water Use Efficiency,Common Bean-Maize,Mexico,,4,1
Intercropping-Solo,Water Use Efficiency,Common Bean-Maize-Natural Fallow,Mexico,,4,1
Organic Fertilizer-Solo,Crop Yield,Fava Bean,Mexico,,5,1
Organic Fertilizer-Solo,Crop Yield,Squash (C.Moschata),Mexico,,5,1
Mulch-Reduced Tillage-Solo,Crop Residue Yield,Maize,Mexico,,2,1
Crop Residue Incorporation-Crop Rotation-Solo,Crop Residue Yield,Maize,Mexico,,2,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Residue Yield,Maize,Mexico,,2,1
Supplemental Irrigation-Solo,Crop Yield,Maize,Mexico,,4,1
Supplemental Irrigation-Solo,Water Use,Maize,Mexico,,8,1
Crop Rotation-Solo,Soil Moisture,Maize,Mexico,,4,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Moisture,Maize,Mexico,,2,1
Mulch-Solo,Soil Moisture,Maize,Mexico,,2,1
Crop Rotation-Mulch-Solo,Soil Moisture,Maize,Mexico,,15,1
Crop Residue Incorporation-Solo,Soil Moisture,Maize,Mexico,,2,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Moisture,Maize,Mexico,,1,1
Crop Rotation-Reduced Tillage-Solo,Soil Moisture,Maize,Mexico,,1,1
Crop Rotation-Solo,Soil Moisture,Wheat,Mexico,,4,1
Mulch-Reduced Tillage-Solo,Soil Moisture,Wheat,Mexico,,4,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Moisture,Wheat,Mexico,,2,1
Mulch-Solo,Soil Moisture,Wheat,Mexico,,14,1
Crop Rotation-Mulch-Solo,Soil Moisture,Wheat,Mexico,,1,1
Crop Residue Incorporation-Solo,Soil Moisture,Wheat,Mexico,,2,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Moisture,Wheat,Mexico,,1,1
Reduced Tillage-Solo,Soil Moisture,Wheat,Mexico,,2,1
Crop Rotation-Reduced Tillage-Solo,Soil Moisture,Wheat,Mexico,,1,1
Crop Rotation-Solo,Soil Total Nitrogen,Maize,Mexico,,12,1
Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Maize,Mexico,,12,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Maize,Mexico,,6,1
Mulch-Solo,Soil Total Nitrogen,Maize,Mexico,,6,1
Crop Rotation-Mulch-Solo,Soil Total Nitrogen,Maize,Mexico,,3,1
Crop Residue Incorporation-Solo,Soil Total Nitrogen,Maize,Mexico,,6,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Total Nitrogen,Maize,Mexico,,3,1
Reduced Tillage-Solo,Soil Total Nitrogen,Maize,Mexico,,6,1
Crop Rotation-Reduced Tillage-Solo,Soil Total Nitrogen,Maize,Mexico,,3,1
Crop Rotation-Solo,Soil Total Nitrogen,Wheat,Mexico,,12,1
Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Wheat,Mexico,,12,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Wheat,Mexico,,6,1
Mulch-Solo,Soil Total Nitrogen,Wheat,Mexico,,6,1
Crop Rotation-Mulch-Solo,Soil Total Nitrogen,Wheat,Mexico,,3,1
Crop Residue Incorporation-Solo,Soil Total Nitrogen,Wheat,Mexico,,6,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Total Nitrogen,Wheat,Mexico,,3,1
Reduced Tillage-Solo,Soil Total Nitrogen,Wheat,Mexico,,6,1
Crop Rotation-Reduced Tillage-Solo,Soil Total Nitrogen,Wheat,Mexico,,3,1
Crop Rotation-Solo,Soil Organic Carbon,Maize,Mexico,,12,1
Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Maize,Mexico,,12,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Maize,Mexico,,6,1
Mulch-Solo,Soil Organic Carbon,Maize,Mexico,,9,1
Crop Rotation-Mulch-Solo,Soil Organic Carbon,Maize,Mexico,,3,1
Crop Residue Incorporation-Solo,Soil Organic Carbon,Maize,Mexico,,6,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Organic Carbon,Maize,Mexico,,3,1
Reduced Tillage-Solo,Soil Organic Carbon,Maize,Mexico,,6,1
Crop Rotation-Reduced Tillage-Solo,Soil Organic Carbon,Maize,Mexico,,3,1
Crop Rotation-Solo,Soil Organic Carbon,Wheat,Mexico,,12,1
Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Wheat,Mexico,,12,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Wheat,Mexico,,6,1
Mulch-Solo,Soil Organic Carbon,Wheat,Mexico,,6,1
Crop Rotation-Mulch-Solo,Soil Organic Carbon,Wheat,Mexico,,3,1
Crop Residue Incorporation-Solo,Soil Organic Carbon,Wheat,Mexico,,6,1
Crop Residue Incorporation-Crop Rotation-Solo,Soil Organic Carbon,Wheat,Mexico,,3,1
Reduced Tillage-Solo,Soil Organic Carbon,Wheat,Mexico,,6,1
Crop Rotation-Reduced Tillage-Solo,Soil Organic Carbon,Wheat,Mexico,,3,1
Crop Rotation-Mulch-Solo,Crop Yield,Maize,Mexico,,4,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Maize,Mexico,,8,1
Mulch-Solo,Crop Yield,Wheat,Mexico,,8,1
Crop Rotation-Mulch-Solo,Crop Yield,Wheat,Mexico,,4,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Wheat,Mexico,,8,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Wheat,Mexico,,4,1
Crop Residue Incorporation-Crop Rotation-Solo,Crop Yield,Wheat,Mexico,,4,1
Reduced Tillage-Solo,Biodiversity,Wheat,Mexico,,27,1
Crop Residue Incorporation-Solo,Biodiversity,Wheat,Mexico,,23,1
Crop Residue Incorporation-Reduced Tillage-Solo,Biodiversity,Wheat,Mexico,,5,1
Reduced Tillage-Solo,Biodiversity,Maize,Mexico,,19,1
Crop Residue Incorporation-Solo,Biodiversity,Maize,Mexico,,20,1
Crop Residue Incorporation-Reduced Tillage-Solo,Biodiversity,Maize,Mexico,,4,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Yield,Wheat,Mexico,,1,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Yield,Maize,Mexico,,1,1
Mulch-Reduced Tillage-Solo,Biodiversity,Maize,Mexico,,47,1
Crop Rotation-Solo,Biodiversity,Maize,Mexico,,16,1
Crop Residue Incorporation-Crop Rotation-Solo,Biodiversity,Maize,Mexico,,4,1
Crop Rotation-Reduced Tillage-Solo,Biodiversity,Maize,Mexico,,4,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Biodiversity,Maize,Mexico,,8,1
Mulch-Solo,Biodiversity,Maize,Mexico,,28,1
Crop Rotation-Mulch-Solo,Biodiversity,Maize,Mexico,,4,1
Mulch-Reduced Tillage-Solo,Biodiversity,Wheat,Mexico,,50,1
Crop Rotation-Solo,Biodiversity,Wheat,Mexico,,26,1
Crop Residue Incorporation-Crop Rotation-Solo,Biodiversity,Wheat,Mexico,,8,1
Crop Rotation-Reduced Tillage-Solo,Biodiversity,Wheat,Mexico,,8,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Biodiversity,Wheat,Mexico,,10,1
Mulch-Solo,Biodiversity,Wheat,Mexico,,29,1
Crop Rotation-Mulch-Solo,Biodiversity,Wheat,Mexico,,8,1
Crop Residue-Reduced Tillage-Solo,Crop Yield,Maize,Mexico,,36,1
Crop Rotation-Solo,Cation Exchange Capacity,Maize-Wheat,Mexico,,2,1
Mulch-Solo,Biodiversity,Natural Fallow,Mexico,,216,1
Crop Residue Incorporation-Solo,Biodiversity,Natural Fallow,Mexico,,288,1
Crop Residue-Solo,Biodiversity,Natural Fallow,Mexico,,72,1
Biochar-Organic Fertilizer-Solo,Crop Yield,Maize,Mexico,,1,1
Biochar-Mulch-Organic Fertilizer-Solo,Crop Yield,Maize,Mexico,,3,1
Biochar-Inorganic Fertilizer-Mulch-Organic Fertilizer-Solo,Crop Yield,Maize,Mexico,,1,1
Crop Residue-Mulch-Solo,Crop Yield,Maize,Mexico,,20,1
Crop Residue-Mulch-Solo,Biomass Yield,Maize,Mexico,,20,1
Crop Residue-Mulch-Solo,Runoff,Maize,Mexico,,18,1
Crop Residue-Mulch-Solo,Erosion,Maize,Mexico,,18,1
Reduced Tillage-Solo,Cation Exchange Capacity,Maize,Mexico,,2,1
Crop Residue Incorporation-Solo,Crop Residue Yield,Maize,Mexico,,1,1
Reduced Tillage-Solo,Crop Residue Yield,Maize,Mexico,,1,1
Crop Residue Incorporation-Solo,Biomass Yield,Maize,Mexico,,2,1
Crop Residue Incorporation-Solo,Biomass Yield,Wheat,Mexico,,1,1
Mulch-Reduced Tillage-Solo,Biomass Yield,Wheat,Mexico,,2,1
Crop Residue-Mulch-Reduced Tillage-Solo,Crop Yield,Barley,Mexico,,9,1
Crop Residue-Mulch-Reduced Tillage-Solo,Water Use Efficiency,Barley,Mexico,,9,1
Crop Residue-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,Mexico,,9,1
Crop Residue-Mulch-Reduced Tillage-Solo,Water Use Efficiency,Maize,Mexico,,9,1
Mulch-Reduced Tillage-Solo,Biomass Yield,Oats,Mexico,,48,1
Mulch-Solo,Biomass Yield,Oats,Mexico,,48,1
Reduced Tillage-Solo,Gross Return,Maize-Oats,Mexico,,9,1
Mulch-Reduced Tillage-Solo,Gross Return,Maize-Oats,Mexico,,9,1
Mulch-Solo,Gross Return,Maize-Oats,Mexico,,9,1
Reduced Tillage-Solo,Gross Margin,Maize-Oats,Mexico,,9,1
Mulch-Reduced Tillage-Solo,Gross Margin,Maize-Oats,Mexico,,9,1
Mulch-Solo,Gross Margin,Maize-Oats,Mexico,,9,1
Reduced Tillage-Solo,Soil Organic Matter,Maize-Oats,Mexico,,6,1
Mulch-Reduced Tillage-Solo,Soil Organic Matter,Maize-Oats,Mexico,,6,1
Mulch-Solo,Soil Organic Matter,Maize-Oats,Mexico,,6,1
Reduced Tillage-Solo,Variable Cost,Maize-Oats,Mexico,,9,1
Mulch-Reduced Tillage-Solo,Variable Cost,Maize-Oats,Mexico,,9,1
Mulch-Solo,Variable Cost,Maize-Oats,Mexico,,9,1
Reduced Tillage-Solo,Infiltration Rate,Oats,Mexico,,8,1
Intercropping-Solo,Crop Yield,Soybean,Mexico,,10,1
Mulch-Reduced Tillage-Solo,Crop Yield,Common Bean,Mexico,,1,1
Mulch-Reduced Tillage-Solo,Biomass Yield,Common Bean,Mexico,,1,1
Crop Residue-Solo,Crop Yield,Wheat,Mexico,,1,1
Crop Residue-Solo,Soil Available Nitrogen,Maize,Mexico,,8,1
Crop Residue-Solo,Soil Available Nitrogen,Wheat,Mexico,,8,1
Crop Residue-Solo,Nitrogen Use Efficiency (Isotopic Product),Maize,Mexico,,1,1
Crop Residue-Solo,Nitrogen Use Efficiency (Isotopic AGB),Maize,Mexico,,1,1
Crop Residue-Solo,Nitrogen Use Efficiency (Isotopic Product),Wheat,Mexico,,1,1
Crop Residue-Solo,Nitrogen Use Efficiency (Isotopic AGB),Wheat,Mexico,,1,1
Mulch-Solo,Crop Yield,Durum Wheat,Mexico,,94,1
Mulch-Reduced Tillage-Solo,Crop Yield,Durum Wheat,Mexico,,95,1
Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Durum Wheat,Mexico,,16,1
Mulch-Solo,Soil Total Nitrogen,Durum Wheat,Mexico,,20,1
Mulch-Reduced Tillage-Solo,Soil Moisture,Durum Wheat,Mexico,,38,1
Mulch-Solo,Soil Moisture,Durum Wheat,Mexico,,38,1
Mulch-Solo,Nitrous Oxide Emissions,Durum Wheat,Mexico,,19,1
Mulch-Reduced Tillage-Solo,Nitrous Oxide Emissions,Durum Wheat,Mexico,,19,1
Crop Rotation-Solo,Crop Yield,Safflower,Mexico,,10,1
Reduced Tillage-Solo,Crop Yield,Durum Wheat,Mexico,,6,1
Inorganic Fertilizer-Solo,Soil Total Nitrogen,Durum Wheat,Mexico,,7,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Soil Total Nitrogen,Durum Wheat,Mexico,,2,1
Inorganic Fertilizer-Mulch-Solo,Soil Total Nitrogen,Durum Wheat,Mexico,,4,1
Inorganic Fertilizer-Solo,Soil Organic Carbon,Durum Wheat,Mexico,,7,1
Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Durum Wheat,Mexico,,4,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Soil Organic Carbon,Durum Wheat,Mexico,,2,1
Mulch-Solo,Soil Organic Carbon,Durum Wheat,Mexico,,8,1
Inorganic Fertilizer-Mulch-Solo,Soil Organic Carbon,Durum Wheat,Mexico,,4,1
Inorganic Fertilizer-Solo,Crop Yield,Durum Wheat,Mexico,,120,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Crop Yield,Durum Wheat,Mexico,,72,1
Inorganic Fertilizer-Mulch-Solo,Crop Yield,Durum Wheat,Mexico,,72,1
Agroforestry Pruning-Reduced Tillage-Solo,Crop Yield,Durum Wheat,Mexico,,2,1
Crop Rotation-Solo,Gross Return,Maize,Mexico,,2,1
Crop Rotation-Solo,Gross Return,Wheat,Mexico,,2,1
Crop Rotation-Solo,Gross Return,Safflower,Mexico,,2,1
Crop Rotation-Solo,Variable Cost,Maize,Mexico,,2,1
Crop Rotation-Solo,Variable Cost,Wheat,Mexico,,2,1
Crop Rotation-Solo,Variable Cost,Safflower,Mexico,,2,1
Crop Rotation-Solo,Benefit Cost Ratio (Unspecified),Maize,Mexico,,2,1
Crop Rotation-Solo,Benefit Cost Ratio (Unspecified),Wheat,Mexico,,2,1
Crop Rotation-Solo,Benefit Cost Ratio (Unspecified),Safflower,Mexico,,2,1
Crop Rotation-Solo,Net Return,Maize,Mexico,,2,1
Crop Rotation-Solo,Net Return,Wheat,Mexico,,2,1
Crop Rotation-Solo,Net Return,Safflower,Mexico,,2,1
Reduced Tillage-Solo,Soil Total Nitrogen,Natural Fallow,Mexico,,6,1
Reduced Tillage-Solo,Soil Organic Matter,Natural Fallow,Mexico,,6,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Wheat,Mexico,,15,1
Organic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,9,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,6,1
Green Manure-Solo,Crop Yield,Wheat,Mexico,,9,1
Green Manure-Inorganic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,3,1
Green Manure-Organic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,3,1
Green Manure-Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,2,1
Crop Rotation-Organic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,3,1
Crop Rotation-Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,2,1
Green Manure-Solo,Nitrogen Agronomic Efficiency,Wheat,Mexico,,8,1
Crop Rotation-Solo,Nitrogen Agronomic Efficiency,Wheat,Mexico,,8,1
Organic Fertilizer-Combo,Biomass Yield,Maize,Brazil,,12,1
Organic Fertilizer-Combo,Crop Yield,Soybean,Brazil,,8,1
Organic Fertilizer-Combo,Cation Exchange Capacity,Soybean,Brazil,,8,1
Organic Fertilizer-Combo,Soil Carbon Stocks,Maize,Brazil,,5,1
Organic Fertilizer-Combo,Soil Carbon Stocks,Wheat,Brazil,,5,1
Organic Fertilizer-Combo,Biomass Yield,Common Bean,Brazil,,2,1
Organic Fertilizer-Combo,Crop Yield,Grape,Brazil,,8,1
Organic Fertilizer-Combo,Biomass Yield,Cowpea,Brazil,,1,1
Organic Fertilizer-Combo,Crop Yield,Cowpea,Brazil,,1,1
Organic Fertilizer-Combo,Biomass Yield,Sunflower,Brazil,,6,1
Organic Fertilizer-Combo,Crop Yield,Sunflower,Brazil,,6,1
Organic Fertilizer-Combo,Biomass Yield,Cotton,Brazil,,6,1
Organic Fertilizer-Combo,Crop Yield,Cotton,Brazil,,12,1
Organic Fertilizer-Combo,Soil Moisture,Common Bean,Brazil,,9,1
Organic Fertilizer-Combo,Soil Organic Carbon,Common Bean,Brazil,,3,1
Organic Fertilizer-Combo,Water Use Efficiency,Common Bean,Brazil,,3,1
Organic Fertilizer-Combo,Gross Return,Common Bean,Brazil,,3,1
Organic Fertilizer-Combo,Cation Exchange Capacity,Common Bean,Brazil,,3,1
Organic Fertilizer-Combo,Total Cost (Unconfirmed),Common Bean,Brazil,,3,1
Organic Fertilizer-Combo,Net Return,Common Bean,Brazil,,3,1
