Code,Theme,Theme.Code,Practice,Practice.Code,Subpractice,Subpractice.Code,Subpractice.S,Subpractice.Suffix,Definition,Notes,Linked.Tab,Linked.Col,Depreciated,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes
b31,Crop Management,Crop Management,Crop Rotation,,Intercrop Rotation,,Rotation (Int Only),Int Only,"Rotation where a main crop remains the same between seasons (no change in spatial location or crop identity), but the minor intercrop is not always present. If the same crop is intercropped throughout the sequence (e.g. Maize-Beans/Maize/Maize-Beans) then this requires a Partial Intercropping code (b50.1, b50.2 or b50.3) or if the intercrop changes throughout the sequence (e.g. Maize-Beans/Maize-Millet/Maize-Beans) this requires a Complex Intercrop Rotation code (b57). If the intercrop is mostly one crop for a long sequence, but rarely something else is planted, we still consider this to be relevant to the Partial Intercropping code.
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation. A crop is not counted in a rotation sequence when it is obviously a minor intercrop to a main crop which is invariant over time (typically there is standard planting of the main crop from year to year and the intercrop is squeezed in-between the rows of the main crop, for example cowpea planted at a low density inbetween maize rows). Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Rot.Out,ED.Rot,TRUE,,,,,,,,,,
b25,Crop Management,Crop Management,Intercropping,In,Intercrop (N fixing & Non N fixing),In±N,Intercrop (Mixed),Mixed,"An intercropping system with a legume and non-legume. 
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Int.Out,ED.Int,FALSE,,,,,,,,,,
b50.1,Crop Management,Crop Management,Intercropping,In,Intercrop (Non N fixing),In-N,Intercrop (nonNfix),nonNfix,"An intercropping system with two non-legumes.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Int.Out,ED.Int,FALSE,,,,,,,,,,
b50.2,Crop Management,Crop Management,Intercropping,In,Intercrop (N fixing),In+N,Intercrop (Nfix),Nfix,"An intercropping system with two or more legumes (edible or marketable).
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Int.Out,ED.Int,FALSE,,,,,,,,,,
b50.3,Crop Management,Crop Management,Intercropping,,Complex Intercrop,,Intercrop (Complex),Complex,"An intercropping system with three or more species.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. If in combination with a rotation sequence intercropping should be present in every year of the cropping cycle, if it is not consider using partial intercrop codes. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Int.Out,ED.Int,,,,,,,,,,,
b50.4,Crop Management,Crop Management,Intercropping,In,Intercrop (Unspecified),In,Intercrop (Unsp.),Unsp.,"An intercropping system is present, but no details on composition are available.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",Only use this practice where there are no details presented about an intercropping paper. All we know is that intercropping was present.,Int.Out,ED.Int,FALSE,,,,,,,,,,
b55.1,Crop Management,Crop Management,Intercropping,,Partial Intercrop (N fixing & Non N fixing),,Intercrop (Part; Mixed),Part;Mixed,"An intercropping system with a legume and non-legume where intercropping is not present every season (spatial diversification that is variable over time). For example a repeating sequence of Maize followed by a Maize-Cowpea intercrop, this would also get an intercrop rotation code.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Int.Out,ED.Int,TRUE,,,,,,,,,,
b55.2,Crop Management,Crop Management,Intercropping,,Partial Intercrop (Non N fixing),,Intercrop (Part; nonNfix),Part;nonNfix,"An intercropping system with two non-legume crops where intercropping is not present every season (spatial diversification that is variable over time). For example a repeating sequence of Maize followed by a Maize-Cowpea intercrop, this would also get an intercrop rotation code.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Int.Out,ED.Int,TRUE,,,,,,,,,,
b55.3,Crop Management,Crop Management,Intercropping,,Partial Intercrop (N fixing),,Intercrop (Part; Nfix),Part;Nfix,"An intercropping system with two legume crops where intercropping is not present every season (spatial diversification that is variable over time). For example a repeating sequence of Maize followed by a Maize-Cowpea intercrop, this would also get an intercrop rotation code.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Int.Out,ED.Int,TRUE,,,,,,,,,,
b57,Crop Management,Crop Management,Intercropping,,Complex Intercrop Rotation,,Intercrop (Rot; Complex),Rot Complex,"There is a main crop (there is no change in spatial location or crop identity) and intercrop (minor) crop sequence , but the nature of the main-intercrop pairing changes between seasons (e.g. Maize-Beans/Maize-Millet/Maize-Beans) , this can be thought of as rotation in the intercrop (minor crop). If the intercrop is mostly one crop for a long sequence, but rarely something else is planted, we still consider this to be relevant to the Partial Intercropping code.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",,Rot.Out,ED.Rot,TRUE,,,,,,,,,,
b59,Crop Management,Crop Management,Intercropping or Rotation,In/CRo,Intercropping or Rotation (N fixing & Non N fixing),In/CRo±N,Int or Rot (Mixed),Mixed,"Only use this practices where a paper states that legume intercropping or rotation was used, but the outcomes do not distinguish between the two.",This outcome will typically relate to farmer trials or surveys.,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b4,Genetic improvement,Genetic improvement,Improved Varieties,IV,Drought Tolerance,IV+DT,Seed Drought,NA,An improved crop variety bred for potential resistance to drought.,,Var.Out,V.Level.Name,FALSE,,,,,,,,,,
b5,Genetic improvement,Genetic improvement,Improved Varieties,IV,Heat Tolerance,IV+HT,Seed Heat,NA,An improved crop variety bred for potential resistance to heat.,,Var.Out,V.Level.Name,FALSE,,,,,,,,,,
b6,Genetic improvement,Genetic improvement,Improved Varieties,IV,Salinity Tolerance,IV+ST,Seed Salt,NA,An improved crop variety bred for potential resistance to salinity.,,Var.Out,V.Level.Name,FALSE,,,,,,,,,,
b69,Genetic improvement,Genetic improvement,Improved Varieties,IV,Improved Seeds,IV,Seed Improv,NA,"An improved crop variety bred for a specific quality other than drought, heat or salinity resistance (e.g. early maturity/short season or improved yields).",,Var.Out,V.Level.Name,FALSE,,,,,,,,,,
b16,Nutrient Management,Nutrient Management,Inorganic Fertilizer,IF,Inorganic K Inputs,IF+K,Inputs K,NA,"The addition of potassium (K) inorganic inputs to fields, typically to test application timing or amount.",,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b17,Nutrient Management,Nutrient Management,Inorganic Fertilizer,IF,Inorganic N Inputs,IF+N,Inputs N,NA,"The addition of nitrogen (N) inorganic inputs to fields, typically to test application timing or amount.",,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b21,Nutrient Management,Nutrient Management,Inorganic Fertilizer,IF,Inorganic P Inputs,IF+P,Inputs P,NA,"The addition of phosphorous (P) inorganic inputs to fields, typically to test application timing or amount.",,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b64,Nutrient Management,Nutrient Management,Inorganic Fertilizer,IF,Inorganic Micronutrients Inputs,IF+Mi,Inputs Micro,NA,"The addition of micronutrients such as Fe, B, Cu, Mo, Zn, Mn, Cl, Ni, or Si typically to test application timing or amount.",,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b23,Nutrient Management,Nutrient Management,Inorganic Fertilizer,IF,Urea,IF+Ur,Inputs Urea,NA,"The addition of urea (a source of nitrogen) to fields, typically to test application timing or amount.",,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b29,Nutrient Management,Nutrient Management,Organic Fertilizer,OF,Compost,OF+Co,Inputs Compost,NA,"Application of composted plant material to the field, typically to test application timing or amount. Composts are organic materials which have been piled, moistened, and allowed to undergo biological decomposition","Typically identified by author. Include composted manures under the Manure practice, not here.",Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b30,Nutrient Management,Nutrient Management,Organic Fertilizer,OF,Manure,OF+Ma,Inputs Manure,NA,"Application of animal manure to the field, typically to test application timing or amount. This does not include biosolids such as sewage which have their own practice codes.",Include composted manures here.,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b75,Nutrient Management,Nutrient Management,Organic Fertilizer,OF,Kraaling or Parcage,OF+Kr,Inputs Kraaling,NA,A south and west African method of housing animals at night in crop fields to produce manure.,,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b73,Nutrient Management,Nutrient Management,Organic Fertilizer,OF,Organic (Other),OFO,Inputs Other Organic,NA,An organic input that does not match any other category in ERA.,Please notify ERA team if you use this code.,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b74,Nutrient Management,Nutrient Management,Organic Fertilizer,OF,Ash,OF+A,Inputs Ash,NA,Application of plant ash to fields.,,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b67,Nutrient Management,Nutrient Management,Organic Fertilizer,OF,Biosolids,OF+Bi,Inputs Biosolids,NA,"Biosolids are treated and processed sewage sludge applied to fields as a fertilizer. Biosolids do not include industrial waste products, e.g. sugar production waste, ethanol production waste.",,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
c1,Energy,Energy,Biogas,BG,Biogas,BG,Biogas Prod,NA,Biogas production from from anaerobic biodigesters.,"The comparison for this practice can be wood fuel or charcoal production as traditional energy sources (the outcomes would be cost, labor, fuel use, cooking time, etc.).",E.Out,E.Level.Name,FALSE,,,,,,,,,,
c4,Energy,Energy,Biogas,,Biofertilizer,,Biofertilizer,NA,Fertilizer (biofertilizer) produced using a biodigestor slurry.,USE COMPOST CODE b29,E.Out,E.Level.Name,TRUE,,,,,,,,,,
c3,Energy,Energy,Biogas,BG,Biogas Switching,BG+Sw,Biogas Switch,NA,Switching of biodigestors biomass feedstocks.,Biodigestor papers only.,E.Out,E.Level.Name,FALSE,,,,,,,,,,
c2,Energy,Energy,Cookstove,CS,Improved Cookstoves,CS,Cookstove Improv,NA,"Improved cookstove designed to burn biomass fuels in a cleaner and more efficient manner than conventional practice (e.g., traditional three-stone fires).",,E.Out,E.Level.Name,FALSE,,,,,,,,,,
c5,Energy,Energy,Cookstove,CS,Cookstove Switching,CS+Sw,Cookstove Switch,NA,Switching cookstove biomass feedstocks.,Cooking fuel studies only. Changing the source of fuel doesn't count (e.g. unsustainable wood from source A vs sustianable fuel from source B).,E.Out,E.Level.Name,FALSE,,,,,,,,,,
d17.1,Animals,Animals,Feed Addition,FA,Crop Fodders (Added),FA+CF,Feed Crop (Add),Add,"Feeds added to animal diets that come from non-woody crops not usually grown for fodder, but for another purpose (e.g. consumption). These can be crop grain. field residues (for example maize stalks left over once the grain component has been harvested) and or processing residues (for example the maize bran produced as a byproduct of milling flour). Soyabeans fit in this category as they are grown for human consumption and livestock feed.",Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d17.2,Animals,Animals,Feed Addition,FA,Non Crop Fodders (Added),FA+NC,Feed NonCrop (Add),Add,"Feeds added to animal diets that are non-woody crops grown primarily for fodder (e.g., alfafa or clover grown to feed to cattle) or non-woody plants harvested from non-cropped areas (e.g., forage grasses such as napier grass grown to stabilize terraces, cactus harvested from boundary fences, wild growing plants in wayside or fallows, algae, etc.).",Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d17.3,Animals,Animals,Feed Addition,FA,Agroforestry Fodders (Added),FA+AF,Feed AgFor (Add),Add,Feeds added to animal diets that are from agroforestry shrub or tree fodders or other woody plants.,Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d17.4,Animals,Animals,Feed Addition,FA,Animal Manures (Added),FA+AM,Feed Manure (Add),Add,Feeds added to animal diets that are animal manures.,Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d17.5,Animals,Animals,Feed Addition,FA,Other Feed (Added),FA+O,Feed Other (Add),Add,"Feeds added to animal diets that are non-plant or non-manure based materials. These typically include materials that are the by-product of animal processing (e.g., bone meal or fish meal).",Feeds are added compared to a control practice (basal diet) that does not contain items which would gain the same ERA classfication. Control diets are often hay ad libitum or hay ad libitum + maize stover.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d18.1,Animals,Animals,Feed Substitution,FS,Crop Fodders (Substituted),FS+CF,Feed Crop (Sub),Sub,"Components of a basal diet fully or partially substituted for residues from crops not primarily grown for fodder, but for another purpose (e.g. consumption). These can be field residues (for example maize stalks left over once the grain component has been harvested) and or processing residues (for example the maize bran produced as a byproduct of milling flour).",Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d18.2,Animals,Animals,Feed Substitution,FS,Non Crop Fodders (Substituted),FS+NC,Feed NonCrop (Sub),Sub,"Components of a basal diet fully or partially substituted for non-woody crops grown primarily for fodder (e.g., alfafa or clover grown to feed to cattle) or non-woody plants harvested from non-cropped areas (e.g., forage grasses such as napier grass grown to stabilize terraces, cactus harvested from boundary fences, wild growing plants in wayside or fallows, algae, etc.). Feeds are added compared to a base practice control such as hay ad libitum only.",Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d18.3,Animals,Animals,Feed Substitution,FS,Agroforestry Fodders (Substituted),FS+AF,Feed AgFor (Sub),Sub,Components of a basal diet fully or partially substituted for agroforestry shrub or tree fodders (woody plants).,Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d18.4,Animals,Animals,Feed Substitution,FS,Animal Manures (Substituted),FS+AM,Feed Manure (Sub),Sub,Components of a basal diet fully or partially substituted for animal manures.,Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d18.5,Animals,Animals,Feed Substitution,FS,Other Feed (Substituted),FS+O,Feed Byproducts (Sub),Sub,"Components of a basal diet fully or partially substituted with non-plant and non-manure based materials. These typically include materials for the by-product of animal processing (e.g., bone meal or fish meal).",Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d22.1,Animals,Animals,Feed Processing,FP,Chemically Processed Feed,FP+Ch,Feed Chem Process,NA,"Fodders that have been chemically processed, for example urea-treated stover or fermented fodders. Silage is a type of fodder made from green foliage crops which have been preserved by acidification, achieved through fermentation.",,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d22.2,Animals,Animals,Feed Processing,FP,Mechanically Processed Feed,FP+Me,Feed Mech Process,NA,"Fodders or plant wastes that have been mechanically processed, for example chopped or pelletted grasses or ground orange peel.",,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d22.3,Animals,Animals,Feed Processing,FP,Concentrated Feed,FP+Co,Feed Concentrates,NA,"Non-forage feeds rich in energy and protein. Concentrates include feeds such as maize bran, cotton seed cake, molasses, fish meal and bean cake. Non-forage feeds may use energy or protein rich part plants such as seeds, whereas forage feeds are mainly plant leaves and stems.",,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d9,Animals,Animals,Genetic Improvement,GI,Improved Breeds,GI-Im,Breed Impr,NA,"The use of improved animal breeds, these are animals bred for specific traits usually productivity (typically breeds exotic to Africa like Friesen, Holstein or Jersey cows).",,Var.Out,V.Level.Name,FALSE,,,,,,,,,,
d10,Animals,Animals,Genetic Improvement,GI,Hybridization or Cross Breeding,GI-Hy,Breed Hybrid,NA,"The use of animal cross breeds produced by the mating (hybridization) of individuals of different breeds, varieties, or species.",,Var.Out,V.Level.Name,FALSE,,,,,,,,,,
d13,Animals,Animals,Manure Management,MM,Manure Collection,MM-Co,Manure Collection,NA,"Techniques to collect manure, e.g, increased frequency of collection and removal from the kraal.",,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d14,Animals,Animals,Manure Management,MM,Manure Storage,MM-St,Manure Storage,NA,"Manure storage techniques such as heaps, pits or dry lots.",,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d15,Animals,Animals,Manure Management,MM,Manure Treatment,MM-Tr,Manure Treat,NA,Techniques for treatment of manure.,,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d16,Animals,Animals,Pasture Management,PM,Rotational Grazing,PM+RG,Grazing Rotation,NA,The movement of animals between different paddocks at intervals.,,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d11,Animals,Animals,Pasture Management,PM,Improved Pasture (N fixing),PM+IP+N,Pasture Impr (Nfix),Nfix,The planting of pastures with leguminous forages.,,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d12,Animals,Animals,Pasture Management,PM,Improved Pasture (Non N fixing),PM+IP-N,Pasture Impr (nonNfix),nonNfix,The planting of pastures with non-leguminous forages.,,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d19,Animals,Animals,Pasture Management,PM,Controlled Grazing,PM+CG,Grazing Controlled,NA,"The restriction of animal movement within pastures. Controlled grazing is known by many names, such as rotational grazing, rotational stocking, intensive grazing and strip grazing. Typically a large pasture is subdivided into several smaller pastures (paddocks) by cross fencing and animals stocked in one of the paddocks. When the forage has been removed, cattle are rotated to the next paddock.",,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d20,Animals,Animals,Pasture Management,PM,Cut & Carry,PM+CC,Grazing Cut & Carry,NA,"A system where animals are confined and feed is brought to them, also known as zero grazing.",,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
d1,Animals,Animals,Aquasilviculture,AqS,Aquasilviculture,AqS,Aquasilviculture,NA,"An aquaculture practice in combination with a sylviculture practice in close spatial proximity. The classic example of this practice is fish or crustacean farming in mangroves, to conserve or restore mangrove trees and produce food.",,Animals.Out,A.Level.Name,FALSE,,,,,,,,,,
f1,Postharvest,Postharvest,Harvest Method,HM,Harvest Technique,HM-Te,Harvest Technique,NA,"Changing the manner in which crops are harvested, for example using a new tool.",,PO.Out,PO.Level.Name,FALSE,,,,,,,,,,
f2,Postharvest,Postharvest,Harvest Method,HM,Harvesting Timing,HM-Ti,Harvest Timing,NA,"Changing the time when crops are harvested, for example moving to piecemeal harvesting from all-at-once or havesting in the morning compared to the heat of the day.",,PO.Out,PO.Level.Name,FALSE,,,,,,,,,,
f3,Postharvest,Postharvest,Storage,St,Improved Drying,St-Dr,Drying Improv,NA,Changing the manner in which crops are dried.,,PO.Out,PO.Level.Name,FALSE,,,,,,,,,,
f4,Postharvest,Postharvest,Storage,St,Improved Chemical Storage,St-Ch,Storage Impr Chem,NA,Using naturally derived or manufactured chemicals such as pesticides or preservatives improve storage. This could include adding actellic dust or fungicide to maize bags or fumigation of stores.,,PO.Out,PO.Level.Name,FALSE,,,,,,,,,,
f5,Postharvest,Postharvest,Storage,St,Improved Physical Storage,St-Ph,Storage Impr Phys,NA,"Improving the way food stuffs are stored such as Purdue improved crop storage (PICS) bags, use of granaries or improvements to granaries.",,PO.Out,PO.Level.Name,FALSE,,,,,,,,,,
h1,Non-CSA,Non-CSA,Non-CSA,,Non CSA,,,,"general, other, typically should not be used",,,,TRUE,,,,,,,,,,
h2,Non-CSA,Non-CSA,Agronomy;Agroforestry,,Monoculture,,Monoculture,,A single crop is grown in the experimental plot and is invariant over time.,This is the control for an intercropping experiment. Crop varieties may change.,,,FALSE,,,,,,,,,,
h38,Non-CSA,Non-CSA,Agronomy,,Continuous Cropping,,,,"A single crop is grown in the experimental plot, this is invariant over the course of the experiment.",This is the control for an intercropping experiment.,,,TRUE,,,,,,,,,,
h18,Non-CSA,Non-CSA,Agronomy;Agroforestry,,Simple Intercrop,,,,Control for improved intercropping.,,,,TRUE,,,,,,,,,,
h50,Non-CSA,Non-CSA,Agronomy;Agroforestry,,Simple Crop Rotation,,,,Control for improved rotations.,,,,TRUE,,,,,,,,,,
h24,Soil Management,Soil Management,Improved Fallow,,Natural or Bare Fallow,,Fallow Unimpr,,A fallowing practice where the land is left unmanaged between production periods.,This is the control practice for improved fallows.,,,FALSE,,,,,,,,,,
h6,Soil Management,Soil Management,Conventional Tillage,,Conventional Tillage,,Conv Till,,"Tillage that is not considered to be reduced, typically includes methods such as moldboard plough which invert the upper layers of the soil.","The definition depends on the context, for example ridge and furrow may be reduced in some instances, but conventional in others.",,,FALSE,,,,,,,,,,
h35,Soil Management,Soil Management,Crop Residue,,Crop Residues Removed,,Residue Removed,,Crop residues are removed from the field.,,,,FALSE,,,,,,,,,,
h36,Soil Management,Soil Management,Crop Residue,,Crop Residues Burnt,,Residue Burnt,,Crop residues are burnt (in the field).,,,,FALSE,,,,,,,,,,
h39,Soil Management,Soil Management,Crop Residue,,Crop Residues Grazed,,Residue Grazed,,Crop residues are grazed by livestock (in the field).,,,,FALSE,,,,,,,,,,
h37,Soil Management,Soil Management,Crop Residue,,Crop Residue Incorporated,,Residue Incorp,,Crop residues are incorporated into the field.,,,,FALSE,,,,,,,,,,
h55,Genetic improvement,Genetic improvement,Unimproved Variety,,Unimproved Variety,,Unimpr Variety,,"A crop variety that has not been improved through intensive crop breeding, for example a farmer's or local variety, or a landrace.",,,,FALSE,,,,,,,,,,
h7,Water Management,Water Management,Irrigation,,Fully Irrigated Control or Experiment,,Full Irrig,,The crop is fully irrigated.,A control that can be compared to experimental treatments that apply less water (e.g. deficit irrigation) or this code can be giving to control and treatment where both are irrigated (e.g. rice grown in paddies).,,,FALSE,,,,,,,,,,
h23,Water Management,Water Management,Irrigation,,No Irrigation Control or Rainfed Agriculture,,No Irrig,,"No irrigation used, rainfed agriculture.",A control practice that can be compared to the practice of supplemental irrigation.,,,FALSE,,,,,,,,,,
h10,Nutrient Management,Nutrient Management,Fertilizer,,Conventional input (fertilizer) use,,,,Addition of fertilizer without any specific measurement,,,,FALSE,,,,,,,,,,
h10.1,Nutrient Management,Nutrient Management,Fertilizer,,No fertilizers added,,No Fert,,No inputs of inorganic or organic fertilizer.,A control for fertilizers addition treatments.,,,FALSE,,,,,,,,,,
h10.2,Nutrient Management,Nutrient Management,Fertilizer,,Recommend rate of fertilizer,,,,Addition of recommended amount of fertilizer following soil tests. This is to be used when the papers specifically says the recommended rates.,,,,FALSE,,,,,,,,,,
h48,Non-CSA,Non-CSA,Agronomy,,Conventional rice management,,,,"A control for SRI, alternate wetting $drying, midseason drainage and reduced water use in Rice",,,,TRUE,,,,,,,,,,
h14,Energy,Energy,Cookstove,,Unimproved Stove Technology,,Cookstove Unimpr,,Use of traditional stoves for burning biomass fuels lile traditional three-stone; a control for improved cookstoves,A control for an improved cookstove.,,,FALSE,,,,,,,,,,
h15,Energy,Energy,Biogas/cookstove,,Conventional Biomass Feedstocks,,Biomass Feed Conv,,Use of normal/usual feedstocks in a biomass digestor.,,,,FALSE,,,,,,,,,,
h16,Energy,Energy,Biogas,,Predominant Biodigestor Model,,,,,,,,TRUE,,,,,,,,,,
h26,Energy,Energy,Cookstove,,Conventional Energy Sources,,Cookstove Conv Fuel,,A conventional or normal source of fuel.,A control for cookstove fuel switching.,,,FALSE,,,,,,,,,,
h17,Postharvest,Postharvest,Harvest Method,,Traditional harvesting method,,Harvest Trad,,Harvesting at usual times or with usual tools.,Control for improved/changed harvesting technique and/or timing.,,,FALSE,,,,,,,,,,
h21,Postharvest,Postharvest,Storage,,Unimproved Storage Structure,,Storage Unimpr Phys,,"Storing feeds/seeds in an unimproved manner, such as a traditional granary or storeroom.",Control for Improved Physical Storage.,,,FALSE,,,,,,,,,,
h22,Postharvest,Postharvest,Storage,,Unimprove or No Preservation Technique,,Storage Unimpr Chem,,Typically no method is used to preserve stored foods or the method is considered to be unimproved.,Control for Improved Chemical Storage.,,,FALSE,,,,,,,,,,
h30,Postharvest,Postharvest,Storage,,Uimproved Drying Technique,,Drying Unimpr,,No or an unimproved drying technique is used to preserve food for storage.,Control for Improved Improved Drying.,,,FALSE,,,,,,,,,,
h60,Animals,Animals,Feed Addition; Feed Substitution,,Basal or Conventional Diet,,Diet Control,,A diet fed to animals without additional of anything.,A control for addition (supplementation) of feeds.,,,FALSE,,,,,,,,,,
h61,Animals,Animals,Feed Addition; Feed Substitution,,Conventional Supplement Use,,,,Supplement given to animals by the farmer or deemed control by author and is,A control for addition (supplementation) or substitution of feeds.,,,FALSE,,,,,,,,,,
h10.3,Animals,Animals,Manure Management,,Conventional Manure Handling,,Manure Hand Conv,,Conventional Manure handling (farmer practice),,,,FALSE,,,,,,,,,,
h11,Animals,Animals,Pasture Management,,Conventional Pasture Management,,Pasture Man Conv,,Conventional pasture management.,This could be the traditional or farmer practice or a practice the authors state as an unimproved control practice.,,,FALSE,,,,,,,,,,
h55.1,Animals,Animals,Genetic Improvement,,Unimproved Breed,,Breed Unimpr,,A local or otherwise unimproved animal breed.,A control for improved breeds/hybrid and cross breeds.,,,FALSE,,,,,,,,,,
h66.1,Non-CSA,Non-CSA,Agronomy;Agroforestry,,Chemical Weeding (Herbicides),,Weed Chem,,Suppression of weed growth or killing weeds using chemicals,,,,FALSE,,,,,,,,,,
h66.2,Non-CSA,Non-CSA,Agronomy;Agroforestry,,Hand Weeding,,Weed Hand,,"Extraction of weeds by hands through pulling or use of tools like panga, hoe etc.",,,,FALSE,,,,,,,,,,
h6.1,Soil Management,Soil Management,No-Till (Off-season),,,,,,Used in the unusal situation where off-season tillage erroneously adds a no-tillage ERA practice to a rotation sequence (add example from HK0314),,,,FALSE,,,,,,,,,,
h6.2,Soil Management,Soil Management,Reduced Tillage (Off-season),,,,,,Used in the unusal situation where off-season tillage erroneously adds a reduced ERA practice to a rotation sequence (add example from HK0314),,,,FALSE,,,,,,,,,,
h3,Water Management,Water Management,Planting,,Transplanting Seedlings. This practice code has only been applied to the 2018 dataset,,,,"Transplanting young seedlings, a practice commonly used to improve rice management in irrigated systems.",,,,FALSE,,,,,,,,,,
