Table,Table_Description,Field,Calculated,Display_Name,Data_Type,Field_Description,Notes,Values,Validation,Required,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Translation source,Spanish Translation,Ref2_DataScribe,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes,Other_Links,...26,...27
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.NO3.Unit,No,"Nitrate
(NO3-) Unit",Character,Unit of measurement for soil nitrate.,,lookup_levels$Soil.N.Unit,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,Camila,Nitrato,Yes,IAO,measurement unit label,http://purl.obolibrary.org/obo/IAO_0000003,(Yes),A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.AN.Unit,No,Available Nitrogen (AN) Unit,Character,Unit of measurement for soil available nitrogen.,,lookup_levels$Soil.N.Unit,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,Camila,Nitrogeno disponible,Yes,IAO,measurement unit label,http://purl.obolibrary.org/obo/IAO_0000003,(Yes),A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.AP.Unit,No,Available Phosphorus (AP) Unit,Character,Unit of measurement for soil available phosphorus.,,lookup_levels$Soil.N.Unit,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,,,Yes,IAO,measurement unit label,http://purl.obolibrary.org/obo/IAO_0000003,(Yes),A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.TP.Unit,No,Total Phosphorus (TP) Unit,Character,Unit of measurement for soil total phosphorus.,,lookup_levels$Soil.N.Unit,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,,,Yes,IAO,measurement unit label,http://purl.obolibrary.org/obo/IAO_0000003,(Yes),A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.CaCO3.Unit,No,Calcium Carbonate Unit,Character,Unit of measurement for soil calcium carbonate.,,lookup_levels$Soil.SOM.Unit,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,,,Yes,IAO,measurement unit label,http://purl.obolibrary.org/obo/IAO_0000003,(Yes),A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.P.Method,No,Phosphorus Measurement Method,Character,Method of measurement for soil phosphorus.,,lookup_levels$Soil.P.Method,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,,,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.N.Method,No,Nitrogen Measurement Method,Character,Method of measurement for soil nitrogen.,,lookup_levels$Soil.N.Method,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,,,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.SOC.Method,No,SOC Measurement Method,Character,Method of measurement for soil organic carbon.,,lookup_levels$SOC.Method,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,Camila,Metodo de medicion de contenido de carbono organico del suelo,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.SOM.Method,No,SOM Measurement Method,Character,Method of measurement for soil organic matter.,,lookup_levels$SOM.Method,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,Camila,Metodo de medicion de contenido de materia organica del suelo,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.pH.Method,No,pH Measurement Method,Character,Method of measurement for soil pH.,,lookup_levels$Soil.pH.Method,NA,Needs to be filled if a corresponding value exists for this soil parameter.,NA,NA,NA,NA,NA,Camila,Metodo de medicion de pH del suelo,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",B.Code,Yes,NA,Character,,,Pub.Out$B.Code,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Soil.Out,FIELD NOT REQUIRED,Texture.Total,Yes,NOT REQUIRED,Numeric,,,SND+SLT+CLY,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Soil.Out,FIELD NOT REQUIRED,N,NA,NOT REQUIRED,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Soil.Out,,USDA.Texture,Yes,Soil Texture Class (USDA),Character,Soil texture classified according to the USDA soil texture triangle.,"To convert % sand, silt and clay values into a class we use the Soiltexture::TT.points.in.classes R function  https://www.rdocumentation.org/packages/soiltexture/versions/1.5.1/topics/TT.points.in.classes. This is done automatically and not by the data extractor.",Output by Soiltexture::TT.points.in.classes,NA,NA,AGROVOC,soil texture,http://aims.fao.org/aos/agrovoc/c_7199,Partial,properties > soil properties > soil chemicophysical properties > soil texture,Camila,Textura del suelo,,,,,,,,,
Soil.Out,FIELD NOT REQUIRED,ED.Site.ID,NA,NOT REQUIRED,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
ExpD.Out,"Experimental design information, such as plot size, layout and notes on historical management.",EX.Design,No,Experimental Design,Character,A plan specification that states how treatments are allocated to the experimental units during an agronomic trial. It refers to the conceptual framework within which the experiment is conducted. Source: AGRO,,Free Text,"None, but a lookup table could be implemented",,AGROVOC,experimental design,http://aims.fao.org/aos/agrovoc/c_29466,Yes,activities > design > experimental design,Camila,Diseño experimental,Yes,AGRO,agronomic experimental design,http://purl.obolibrary.org/obo/AGRO_00000343,Yes,,,,
ExpD.Out,,EX.Plot.Size,No,Size of Experimental Plot (m2),Numeric,"The size of a treatment plot in the experiment, if variable use the mean value or mid-point of the size range.",,NA,EX.Plot.Size>=EX.HPlot.Size,,,,,,,,,,,,,,,,,
ExpD.Out,,EX.HPlot.Size,No,Size of Harvested Plot (m2),Numeric,The area of an treatment plot harvested to estimate crop yields (or other outcomes if crop yield was not the primary focus of the experiment).,,NA,EX.HPlot.Size<=EX.Plot.Size,,,,,,,,,,,,,,,,,
ExpD.Out,,EX.Notes,No,Design & Previous Management Notes,Character,Copy details about experimental design and previous management here. Previous management describes the study site before the experiment began.,,Free Text,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,
ExpD.Out,,B.Code,Yes,NA,Character,,,Pub.Out$B.Code,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Prod.Out,"Select all products for which outcomes are reported in the experiment and any crops in rotation (inc. green manure or improved fallow) or intercropping plots (inc. green manure). If outcomes are reported averaged across products, record all individual products here and create a combined product below or in the EnterData Tab.",P.Product.Subtype,No,Product subtype,Character,,,EU$Product.Subtype,NA,,NA,NA,NA,NA,NA,Camila,Sub-tipo producto,,,,,,,,,
Prod.Out,,P.Product,No,Product,Character,,,"EU[EU$Product.Subtype==P.Product.Subtype,Product.Simple]",NA,,NA,NA,NA,NA,NA,Camila,Producto,,,,,,,,,
Prod.Out,FIELD NOT REQUIRED,P.New,Yes,NOT REQUIRED,Character,,,"Yes,No","If a value is entered that is not in EU$Product.Simple, then this field should be set to Yes.",NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Prod.Out,,P.New.Name,No,Scientific name of the product species,Character,,,Free Text,None,NA,,,,,,,,,,,,,,,,
Prod.Out,FIELD NOT REQUIRED,P.New.Nfix,No,NOT REQUIRED,Character,,,"Yes,No",NA,NA,,,,,,,,,,,,,,,,
Prod.Out,FIELD NOT REQUIRED,P.New.Tree,No,NOT REQUIRED,Character,,,"Yes,No",NA,NA,,,,,,,,,,,,,,,,
Prod.Out,FIELD NOT REQUIRED,P.Aggregated,Yes,NOT REQUIRED,Character,Is the product a combination of more than one crop or animal?,,"Yes,No","If P.Product contains a "".."" delimiter then set to Yes, otherwise No.",NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Prod.Out,FIELD NOT REQUIRED,P.Mulched,Yes,NOT REQUIRED,Character,The ERA practice code used when this crop is mulched.,,"EU[EU$Product.Simple==P.Product,Mulched]",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Prod.Out,FIELD NOT REQUIRED,P.Incorp,Yes,NOT REQUIRED,Character,The ERA practice code used when this crop is incorporated.,,"EU[EU$Product.Simple==P.Product,Incorp]",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Prod.Out,FIELD NOT REQUIRED,P.Unknown.Fate,Yes,NOT REQUIRED,Character,"The ERA practice code used when the residues of this crop are retained, but their fate is unknown.",,"EU[EU$Product.Simple==P.Product,Unknown.Fate]",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Prod.Out,,B.Code,Yes,NA,Character,,,Pub.Out$B.Code,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Var.Out,"Crop, Tree or Animal Varieties, Species & Subspecies
Record tree or shrub varieties in the ""AgF_GreenM_Fallow"" tab.",B.Code,Yes,NA,Character,,,Pub.Out$B.Code,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Var.Out,,V.Base,No,Base Practice?,Character,Is this variety used in all experimental and control treatments?,,"Yes, No",NA,NA,NA,NA,NA,NA,NA,Camila,Practica base,,,,,,,,,
Var.Out,,V.Product,No,Product,Character,,,Prod.Out$P.Product.Subtype,NA,NA,,,,,,,,,,,,,,,,
Var.Out,,V.Var,No,"Variety, Cultivar, Breed, etc.",Character,,,"Choose from unique Varieties[V.Product==V.Product,V.Var] or add new value.",NA,NA,,,,,,,,,,,,,,,,
Var.Out,,V.Species,No,Species,Character,,,"Choose from unique Varieties[V.Product==V.Product,V.Species] or add new value.",NA,NA,,,,,,,,,,,,,,,,
Var.Out,,V.Subspecies,No,Species,Character,,,"Choose from unique Varieties[V.Species==V.Species,V.Subspecies] or add new value.",NA,NA,,,,,,,,,,,,,,,,
Var.Out,,V.Crop.Practice,No,Choose Crop Practice,Character,,,"c(Practices[Practice==""Improved Varieties"",Subpractice],""Unimproved Variety"", ""Unspecified"")",NA,NA,NA,NA,NA,NA,NA,Camila,Elegir practica cultivo,,,,,,,,,
Var.Out,,V.Animal.Practice,No,Choose Animal Practice,Character,,,"c(Practices[Practice==""Genetic Improvement"",Subpractice],""Unimproved Breed"", ""Unspecified"")",NA,NA,NA,NA,NA,NA,NA,Camila,Elegir practica animal,,,,,,,,,
Var.Out,,V.Type,No,"Type of plant variety, breed or similar",Character,,,lookup_levels$Var.Type,NA,NA,,,,,,,,,,,,,,,,
Var.Out,,V.Trait1,No,Crop Trait 1,Character,,,lookup_levels$Crop.Trait,NA,NA,AGROVOC,agronomic characters,http://aims.fao.org/aos/agrovoc/c_210,Yes,properties > biological properties > agronomic characters,Camila,Caracteristica genetica del cultivo,,,,,,,,,
Var.Out,,V.Trait2,No,Crop Trait 2,Character,,,lookup_levels$Crop.Trait,NA,NA,,,,,,,,,,,,,,,,
Var.Out,,V.Trait3,No,Crop Trait 3,Character,,,lookup_levels$Crop.Trait,NA,NA,,,,,,,,,,,,,,,,
Var.Out,,V.Maturity,No,Time to Maturity (days),Integer,The number of days required from seeding to grain ripening. Source: CO,,NA,"Range 21-365, warn if outside of range.",NA,AGROVOC,,,No,,Camila,Tiempo hasta maduracion,Yes,CO,days to maturity - computation,http://www.cropontology.org/rdf/CO_322:0000237,(Yes),"number of days required from seeding to grain ripening. also, it can be calculated using sowing and maturity date.",,,
Var.Out,,V.Codes,Yes,NA,Character,,,"Practices[Subpractice %in% c(Var.Out$V.Crop.Practice,V.Animal.Practice),paste(sort(unique(Code)),collapse=""-"")]",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Var.Out,,Join,Yes,NA,Character,,,"c(Var.Out$V.Var,Var.Out$V.Subspecies)",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Till.Out,"Record details of tillage (or no tillage) here.
If you have a base practice of conventional tillage you cannot have reduced or no-tillage as an experimental practices and vice-versa.
Ridge & Furrow is ""Conventional"" if there is no comparison to pratice with more intensive tillage (e.g. mouldboard plough), if it is compared to a more intensive tillage practice then it is recorded ""Reduced"".",T.Level.Name,No,Tillage Pratice Name,Character,"Choose a easy to recognize name for the tillage practice, you will use this name to reference it when building treatments later in the extraction process. Avoid using special characters.",,Free Text,None,Yes,NA,NA,NA,NA,NA,Camila,Nombre de la practica de arado,,,,,,,,,
Till.Out,,T.Method,No,Tillage Method or Implement,Character,,,lookup_levels$T.Method,NA,No,AGROVOC,tillage equipment,http://aims.fao.org/aos/agrovoc/c_25768,Yes,objects > equipment > tillage equipment,Camila,Metodo de labranza o implemento,,,,,,,,,
Till.Out,,T.Method.Other,No,Other Soil Prep Methods,Character,,,lookup_levels$Till.Other,NA,No,Compound and Vague topic,,,,,,,,,,,,,,,
Till.Out,,T.Depth,No,Tillage Depth (cm),Integer,The depth at which a soil is ploughed or tilled. Source: AGROVOC,,NA,"Range 0-150, warn if >50",No,AGROVOC,ploughing depth,http://aims.fao.org/aos/agrovoc/c_d349db98,Yes,measure > dimensions > depth > ploughing depth,Camila,Profundidad de labranza,,,,,,,,,
Till.Out,,T.Freq,No,Frequency per Growing Season,Character,How many times was the land tilled during one experimental season,,Free Text,"None , but could be set to an integer class with lmiited number of tillage passes allowed",No,,,,,,,,,,,,,,,,
Till.Out,,T.Strip.P,No,% Field Tilled,Numeric,How much of the experimental plot was tilled?,,NA,Range 0-100,No,,,,,,,,,,,,,,,,
Till.Out,,T.Strip.WT,No,Tilled Strip Width (cm),Integer,,,NA,None,No,,,,,,,,,,,,,,,,
Till.Out,,T.Strip.WU,No,Untilled Strip Width (cm),Integer,,,NA,None,No,,,,,,,,,,,,,,,,
Till.Out,,Till.Mechanization,No,Tillage  Mechanization,Character,"Was manual, animal or mechanized effort used to till or otherwise prepare the soli for planting?",,lookup_levels$F.Mechanization,NA,No,AGROVOC,agricultural mechanization,http://aims.fao.org/aos/agrovoc/c_39f65d19,Yes,technology > technological changes > modernization > mechanization > agricultural mechanization,,,,,,,,,,,
Till.Out,,B.Code,Yes,NA,Character,,,Pub.Out$B.Code,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Till.Out,,Till.Method,No*,Tillage Method or Implement,Character,,,lookup_levels$T.Method,NA,No,AGROVOC,tillage equipment,http://aims.fao.org/aos/agrovoc/c_25768,Yes,objects > equipment > tillage equipment,Camila,Metodo de labranza o implemento,,,,,,,,,
Plant.Out,Describe the planting methods and arrangements used. The planting and arrangement of intercrops is recorded here (if different from an equivalent monocrop).,P.Product,No,Choose Product,Character,The crop to which the planting methods applies.,,Prod.Out$P.Product,NA,Yes,NA,NA,NA,NA,NA,,,,,,,,,,,
Plant.Out,,P.Level.Name,No,Planting Method Name,Character,"Choose a easy to recognize name for the planting method, you will use this name to reference it when building treatments later in the extraction process. Avoid using special characters.",,Free Text,NA,Yes,NA,NA,NA,NA,NA,Camila,Metodo de siembra,,,,,,,,,
Plant.Out,,P.Structure,No,Does Planting Method Structure Outcomes?,Character,"Is this practice a focus of the experiment? Does it structure the outcomes? e.g. a factorial design of Fertilizer A & B and Planting Density A,B & C. Where planting is different between certain treatments, but is not an experimental focus, record ""No"".",,"Yes,No",NA,Yes,NA,NA,NA,NA,NA,,,,,,,,,,,
Plant.Out,,P.Method,No,Planting Method,Character,,,"lookup_levels$Plant.Method""]",NA,Yes,AGROVOC,"planting equipment
planting methods
sowing
plant propagation","http://aims.fao.org/aos/agrovoc/c_5991
http://aims.fao.org/aos/agrovoc/c_330810
http://aims.fao.org/aos/agrovoc/c_7268
http://aims.fao.org/aos/agrovoc/c_5977",ERA = Compound,"objects > equipment > planting equipment
methods > planting methods
activities > production > crop production > cultivation > sowing
activities > production > crop production > plant propagation",Camila,Metodo de siembra,Yes,"AGRO
AGRO","planting implement
planting process","http://purl.obolibrary.org/obo/AGRO_00000230
http://purl.obolibrary.org/obo/AGRO_00000231",ERA = Compound,"An implement that is used in a planting process.	
A planned process in which a plant reproductive material is set into the soil.",,,
Plant.Out,,Plant.Density,No,Planting  Density,Numeric,"Planting density refers to the number of plants or seedlings that are planted per unit area, such as per square meter or per hectare.",,NA,Depends on Unit,No,AGROVOC,spacing,http://aims.fao.org/aos/agrovoc/c_7272,Partial,measure > spacing,Camila,Densidad de siembra,,,,,,,,,
Plant.Out,,Plant.Density.Unit,No,Planting  Density Unit,Character,,,lookup_levels$Plant.Density.Unit,NA,If Plant.Out$Plant.Density has a value then this field must be completed,,,,,,,,,,,,,,,,
Plant.Out,,Plant.Row,No,Row Width/Spacing (cm),Numeric,This refers to distance between rows of planted crops in a field.,,NA,Range 1-10000,No,AGROVOC,spacing,http://aims.fao.org/aos/agrovoc/c_7272,Partial,measure > spacing,Camila,Distancia de fila,,,,,,,,,
Plant.Out,,Plant.Station,No,Spacing  of Plantings Stations Within Rows (cm),Numeric,A planting station is a designated location in a field where a single plant or multiple plants are planted. Planting stations are often used in experimental settings to ensure consistency in plant spacing and distribution,,NA,Range 1-5000,No,AGROVOC,spacing,http://aims.fao.org/aos/agrovoc/c_7272,Partial,measure > spacing,Camila,,,,,,,,,,
Plant.Out,,Plant.Seeds,No,Seeds per Station,Integer,,,NA,Warn if >=10,No,AGROVOC,sowing rates,http://aims.fao.org/aos/agrovoc/c_6944,Partial,measure > sowing rates,Camila,Semilla/Estacion (?),,,,,,,,,
Plant.Out,,Plant.Thin,No,Plants/Station after Thinning,Integer,"Thinning of plants in a field refers to the practice of removing some of the plants to create more space between them. Thinning can help to reduce competition for resources such as nutrients, water, and light",,NA,Warn if >=5,No,AGROVOC,sowing rates,http://aims.fao.org/aos/agrovoc/c_6944,Partial,measure > sowing rates,Camila,,,,,,,,,,
Plant.Out,,Plant.Tram.Row,No,Paired Rows: Width/Spacing (cm),Numeric,Use previous cols to record spacing within paired rows. Record  spacing between paired rows here. Do not use for intercrops (unless an intercrop is planted within a block containing multiple paired rows of that intercrop).,,NA,Range 1-10000,No,AGROVOC,spacing,http://aims.fao.org/aos/agrovoc/c_7272,Partial,measure > spacing,Camila,,,,,,,,,,
Plant.Out,,Plant.Tram.N,No,"Paired Rows: Number of ""Paired"" Rows",Integer,Use previous cols to record spacing within paired rows. Record  spacing between paired rows here. Do not use for intercrops (unless an intercrop is planted within a block containing multiple paired rows of that intercrop).,,NA,Warning>20,If Plant.Out$Plant.Plant.Tram.Row has a value then this field must be completed,AGROVOC,spacing,http://aims.fao.org/aos/agrovoc/c_7272,Partial,measure > spacing,Camila,,,,,,,,,,
Plant.Out,,Plant.Intercrop,No,Intercropping: Type,Character,,,lookup_levels$Intercrop.Types,NA,No,AGROVOC,cropping systems,http://aims.fao.org/aos/agrovoc/c_1971,Partial,systems > cropping systems,Camila,Sistema de cultivo,,,,,,,,,
Plant.Out,,Plant.Block.Rows,No,Intercropping: Number of Rows In Block/Alley,Integer,,,NA,Warning>20,"If Plant.Out$Plant.Intercrop==""Block Planting"" then one of Plant.Out$Plant.Block.Rows,  Plant.Out$Plant.Block.Perc, and Plant.Out$Plant.Block.Width must be completed",AGROVOC,spacing,http://aims.fao.org/aos/agrovoc/c_7272,Partial,measure > spacing,Camila,Intersiembra: Numbero de filas en bloque o hilera,,,,,,,,,
Plant.Out,,Plant.Block.Perc,No,Intercropping: % of plot if Block/Alley,Numeric,,,NA,Range 0-100,"If Plant.Out$Plant.Intercrop==""Block Planting"" then one of Plant.Out$Plant.Block.Rows,  Plant.Out$Plant.Block.Perc, and Plant.Out$Plant.Block.Width must be completed",AGROVOC,spacing,http://aims.fao.org/aos/agrovoc/c_7272,Partial,measure > spacing,Camila,,,,,,,,,,
Plant.Out,,Plant.Block.Width,No,Intercropping: Width of Block/Alley (cm),Numeric,,,NA,Range 1-50000,"If Plant.Out$Plant.Intercrop==""Block Planting"" then one of Plant.Out$Plant.Block.Rows,  Plant.Out$Plant.Block.Perc, and Plant.Out$Plant.Block.Width must be completed",AGROVOC,spacing,http://aims.fao.org/aos/agrovoc/c_7272,Partial,measure > spacing,Camila,,,,,,,,,,
Plant.Out,,Plant.Mechanization,No,Planting Mechanization,Character,"Was manual, animal or mechanized effort used to plant or transplant seeds?",,lookup_levels$F.Mechanization,NA,No,AGROVOC,agricultural mechanization,http://aims.fao.org/aos/agrovoc/c_39f65d19,Yes,technology > technological changes > modernization > mechanization > agricultural mechanization,,,,,,,,,,,
Plant.Out,,P.Prac.Prac,No,Planting Practice,Character,Is an improved or optimized planting practice used?,,lookup_levels$P.Info.Pracs,,,,,,,,,,,,,,,,,,
Plant.Out,,P.Prac.Info,No,Planting Information Practice,Character,Is an improved method of providing information regarding planting provided to the farmer?,,lookup_levels$P.Prac.Pracs,,,,,,,,,,,,,,,,,,
Plant.Out,,B.Code,Yes,NA,Character,,,Pub.Out$B.Code,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Fert.Out,,F.Level.Name,No,Fertilizer Practice Name,Character,"Choose a easy to recognize name for the fertilizer practice, you will use this name to reference it when building treatments later in the extraction process. Avoid using special characters.",,Free Text,NA,Yes,NA,NA,NA,NA,NA,Camila,Nombre de practica de fertilizacion,,,,,,,,,
Fert.Out,,F.Prac.Rate,No,Fertilizer Rate Practice,Character,,,lookup_levels$F.Rate.Pracs,NA,No,,,,,,,,,,,,,,,,
Fert.Out,,F.Prac.Timing,No,Fertilizer Timing Practice,Character,,,lookup_levels$F.Timing.Pracs,NA,No,,,,,,,,,,,,,,,,
Fert.Out,,F.Prac.Info,No,Fertilizer Precision Practice,Character,,,lookup_levels$F.Info.Pracs,NA,No,,,,,,,,,,,,,,,,
Fert.Out,,F.Prac.Precision,No,Fertilizer Information Practice,Character,,,lookup_levels$F.Precision.Pracs,NA,No,,,,,,,,,,,,,,,,
Fert.Out,,F.NP2O5K2O,No,Fertilizer NPK type,Character,Is the NPK rate presented as NPK or N-P2O5-K2O?,,"NPK,N-P2O5-K2O",NA,If there is an NPK rating recorded then this field is needed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Fert.Out,,F.NO,No,Total Organic Elemental N,Numeric,"Total elemental nitrogen applied  from organic sources (e.g., compost, manure, biosolid).",,NA,Depends on Unit,No,AGROVOC,"nitrogen
organic fertilizers","http://aims.fao.org/aos/agrovoc/c_5192
http://aims.fao.org/aos/agrovoc/c_4592",Partial,"substances > elements > nonmetals > nitrogen
resources > inputs > farm inputs > fertilizers > organic fertilizers",Camila,Nitrogeno organico total,Yes,"CHEBI
AGRO","elemental nitrogen
organic fertilizer","http://purl.obolibrary.org/obo/CHEBI_33267
http://purl.obolibrary.org/obo/AGRO_00002039",Partial,A material entity that has a fertilizer role and that is derived from animal or vegetable matter.,,,
Fert.Out,,F.PO,No,Total Organic Elemental P,Numeric,"Total elemental phosphorus applied from organic sources (e.g., compost, manure, biosolid).",,NA,Depends on Unit,No,AGROVOC,"phosphorus
organic fertilizers","http://aims.fao.org/aos/agrovoc/c_5804
http://aims.fao.org/aos/agrovoc/c_4592",Partial,"substances > elements > nonmetals > phosphorus
resources > inputs > farm inputs > fertilizers > organic fertilizers",Camila,Fosforo organico total,Yes,"CHEBI
AGRO","elemental phosphorus
organic fertilizer","http://purl.obolibrary.org/obo/CHEBI_33464
http://purl.obolibrary.org/obo/AGRO_00002039",Partial,A material entity that has a fertilizer role and that is derived from animal or vegetable matter.,,,
Fert.Out,,F.KO,No,Total Organic Elemental K,Numeric,"Total elemental potassium applied from organic sources (e.g., compost, manure, biosolid).",,NA,Depends on Unit,No,AGROVOC,"potassium
organic fertilizers","http://aims.fao.org/aos/agrovoc/c_6139
http://aims.fao.org/aos/agrovoc/c_4592",Partial,"substances > elements > metallic elements > alkali metals > potassium
resources > inputs > farm inputs > fertilizers > organic fertilizers",Camila,Potasio organico total,Yes,"CHEBI
AGRO","elemental potassium
organic fertilizer","http://purl.obolibrary.org/obo/CHEBI_37247
http://purl.obolibrary.org/obo/AGRO_00002039",Partial,A material entity that has a fertilizer role and that is derived from animal or vegetable matter.,,,
Fert.Out,,F.NI,No,Total Inorganic Elemental N,Numeric,"Total elemental nitrogen applied from inorganic sources (e.g., urea or DAP).",,NA,Depends on Unit,No,AGROVOC,"nitrogen
inorganic fertilizers","http://aims.fao.org/aos/agrovoc/c_5192
http://aims.fao.org/aos/agrovoc/c_27870",Partial,"substances > elements > nonmetals > nitrogen
resources > inputs > farm inputs > fertilizers > inorganic fertilizers",Camila,Nitrogeno inorganico total,Yes,"CHEBI
AGRO","elemental nitrogen
inorganic fertilizer (mineral fertilizer)","http://purl.obolibrary.org/obo/CHEBI_33267
http://purl.obolibrary.org/obo/AGRO_00002040",Partial,A material entity that has a fertilizer role and that is mined from mineral deposits or manufactured from synthetic compounds.,,,
Fert.Out,,F.PI,No,Total Inorganic  Elemental P,Numeric,"Total elemental phosphorus applied from inorganic sources (e.g., rock phosphate or DAP).",,NA,Depends on Unit,No,AGROVOC,"phosphorus
inorganic fertilizers","http://aims.fao.org/aos/agrovoc/c_5804
http://aims.fao.org/aos/agrovoc/c_27870",Partial,"substances > elements > nonmetals > phosphorus
resources > inputs > farm inputs > fertilizers > inorganic fertilizers",Camila,Fosforo inorganico total,Yes,"CHEBI
AGRO","elemental phosphorus
inorganic fertilizer (mineral fertilizer)","http://purl.obolibrary.org/obo/CHEBI_33464
http://purl.obolibrary.org/obo/AGRO_00002040",Partial,A material entity that has a fertilizer role and that is mined from mineral deposits or manufactured from synthetic compounds.,,,
